Keyword,Label
-pron- have much,0.0
00,0.0
000,0.0
000 per annum,0.0
000 year,0.0
000 year ago,0.0
05,0.0
1 cm (- 1,0.0
1 h (- 1,0.0
1 part per thousand,0.0
1 per cent,0.0
1 yr (- 1,0.0
100 year,0.0
1029,0.0
13,0.0
13 value,0.0
15,0.0
15 part per thousand,0.0
18 value,0.0
1985,0.0
2 billion euros,0.0
2 million new job,0.0
2 part per thousand,0.0
2 per cent,0.0
2 yr (- 1,0.0
20 per cent,0.0
2000,0.0
2000 elsevier science ltd,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,0.0
2099,0.0
24,0.0
25 years,0.0
3,0.0
3 part per thousand,0.0
3 per cent,0.0
3 year ago,0.0
30,0.0
4 part per thousand,0.0
4 per cent,0.0
40 years,0.0
42 per cent,0.0
5,0.0
5 cm (- 1,0.0
5 ka,0.0
5 part per thousand,0.0
5 per cent,0.0
5 year ago,0.0
6 degree,0.0
6 part per thousand,0.0
6 per cent,0.0
63 per cent,0.0
65 per cent,0.0
7 part per thousand,0.0
700 mu l l,0.0
71 per cent,0.0
8 part per thousand,0.0
9 per cent,0.0
Rio de Janeiro,0.0
ab,0.0
abdus salam international centre,0.0
ability,0.0
able,0.0
abolish,0.0
abrupt,0.0
absence,0.0
abuse,0.0
accept,0.0
accepted,0.0
access,0.0
account,0.0
accumulation,0.0
accusation,0.0
accuse,0.0
achieve,0.0
acoustic doppler current profiler,0.0
across the united,0.0
act,0.0
action,0.0
active,0.0
activity,0.0
actor,0.0
adaptation,0.0
added,0.0
additional,0.0
additionally,0.0
address,0.0
adequate,0.0
adequate support,0.0
adherence,0.0
administration,0.0
adolescent,0.0
adopt,0.0
advance,0.0
advance technology,0.0
aeolian,0.0
afghanistan,0.0
africa,0.0
agenda,0.0
agent,0.0
aging,0.0
agree,0.0
agreement,0.0
agricultural product,0.0
agro,0.0
aim,0.0
akt,0.0
aktiv,0.0
allgemeine,0.0
allies,0.0
allocate,0.0
allow,0.0
almost two,0.0
alone,0.0
already,0.0
already lead,0.0
also,0.0
alter,0.0
altern,0.0
although,0.0
amendments,0.0
america,0.0
america and europe,0.0
america to china,0.0
american,0.0
american and european,0.0
american citizen,0.0
amity,0.0
among the much,0.0
amount,0.0
amount of water,0.0
amplitude,0.0
analysis,0.0
analysis be apply,0.0
analysis be conduct,0.0
analysis be perform,0.0
analysis of change,0.0
analysis of china,0.0
analysis of soil,0.0
analyze,0.0
analyze the effect,0.0
andrea,0.0
angst,0.0
annual,0.0
annual cycle,0.0
anomalous,0.0
anomaly,0.0
ans,0.0
answer,0.0
anthelmintic,0.0
apparent,0.0
appear,0.0
applause,0.0
application,0.0
apply immediately,0.0
appointment,0.0
apprehension,0.0
approach,0.0
appropriate,0.0
aragonite,0.0
area,0.0
area of land,0.0
area of research,0.0
argue,0.0
argument,0.0
arise,0.0
arm,0.0
armed forces,0.0
army,0.0
arndt,0.0
around the world,0.0
asia,0.0
asia and china,0.0
asia and europe,0.0
aspect,0.0
assess,0.0
assess the environmental,0.0
assessment,0.0
associate,0.0
association,0.0
assume,0.0
atm,0.0
attempt,0.0
attention,0.0
attitude,0.0
aufs,0.0
australia,0.0
author,0.0
authority,0.0
availability,0.0
average,0.0
average per caput income,0.0
avoid,0.0
back,0.0
background,0.0
baden,0.0
bahn,0.0
balance,0.0
bald,0.0
banken,0.0
banks,0.0
barely,0.0
barrier,0.0
base,0.0
base intervention,0.0
base mental health service,0.0
base on model,0.0
base upon,0.0
based,0.0
basically,0.0
bauen,0.0
bauer,0.0
bayer,0.0
bear,0.0
beautiful,0.0
beck,0.0
becker,0.0
become,0.0
become much,0.0
become the much,0.0
ben,0.0
berichten,0.0
beyond,0.0
bild,0.0
biological,0.0
bitter,0.0
black,0.0
blessing,0.0
bloom,0.0
body,0.0
bog,0.0
boundary,0.0
branch,0.0
brands,0.0
brandt,0.0
brazil and china,0.0
bring,0.0
british government,0.0
budget,0.0
bundesamt,0.0
c,0.0
c g (- 1,0.0
c yr (- 1,0.0
cal,0.0
calcification,0.0
calcite,0.0
calculate,0.0
call,0.0
called,0.0
cancer,0.0
capital,0.0
capital gain tax,0.0
caprock,0.0
care,0.0
career,0.0
carefully,0.0
caregiver,0.0
carry,0.0
case,0.0
case law,0.0
catalyst,0.0
cause,0.0
causes,0.0
cave,0.0
cell g (- 1,0.0
cellulose,0.0
centennial,0.0
central,0.0
central american country,0.0
central and eastern,0.0
central and south,0.0
certain,0.0
certainly,0.0
chain,0.0
chain polyunsaturated fatty acid,0.0
challenge,0.0
chamber,0.0
chancellor,0.0
change,0.0
change in environmental,0.0
changes,0.0
character,0.0
characteristic,0.0
characterize,0.0
charge,0.0
check,0.0
chemical engineers environ prog,0.0
chief,0.0
child left behind act,0.0
china,0.0
china and japan,0.0
china and south,0.0
china have national,0.0
chironomid,0.0
choice,0.0
choose,0.0
christian,0.0
chronic obstructive pulmonary disease,0.0
chronology,0.0
circa,0.0
citizen,0.0
citizens,0.0
city,0.0
civil,0.0
civilize,0.0
claim,0.0
clarify,0.0
clay,0.0
clearly,0.0
client,0.0
climb,0.0
clinic,0.0
clinician,0.0
close,0.0
coast of south,0.0
collaboration,0.0
colleague,0.0
collect,0.0
collection,0.0
column,0.0
combination,0.0
combine,0.0
come,0.0
come year,0.0
coming,0.0
commander,0.0
commanding general,0.0
commend,0.0
commercial,0.0
commission,0.0
commissioner,0.0
commitment,0.0
committee,0.0
common,0.0
communication,0.0
community,0.0
community development,0.0
company,0.0
compare the environmental,0.0
comparison,0.0
compel,0.0
competition,0.0
competitive,0.0
competitiveness,0.0
complaint,0.0
completely,0.0
completely different,0.0
complex,0.0
component,0.0
composition,0.0
concentration,0.0
concept,0.0
conception,0.0
conceptual,0.0
concern,0.0
conclude,0.0
conclusions,0.0
concrete,0.0
concrete proposal,0.0
condition,0.0
conduct,0.0
conference,0.0
confess,0.0
confidence,0.0
conflict,0.0
confocal laser scan microscopy,0.0
congress,0.0
connected,0.0
consequences,0.0
consider,0.0
consider the effect,0.0
considerably,0.0
consideration,0.0
consiglio nazionale delle ricerche,0.0
constant,0.0
constituency,0.0
constitute,0.0
constitution,0.0
constitutional,0.0
constitutional law,0.0
constraint,0.0
construction,0.0
consultation,0.0
consumer,0.0
consumption,0.0
contain,0.0
context,0.0
continuance,0.0
continue,0.0
contract,0.0
contradiction,0.0
contrast,0.0
contribute,0.0
control,0.0
convention,0.0
conversation,0.0
conversion,0.0
core,0.0
corporate,0.0
corporate tax rate,0.0
corporation,0.0
correct,0.0
correlate,0.0
correlation,0.0
correspond,0.0
cost of production,0.0
costs,0.0
cotton,0.0
count,0.0
counting,0.0
country,0.0
country of american,0.0
courage,0.0
course,0.0
court,0.0
covariance,0.0
crab,0.0
crater,0.0
create,0.0
created,0.0
creation,0.0
credit,0.0
criterium,0.0
critical,0.0
crop,0.0
cross,0.0
crucial,0.0
cultivation,0.0
currency,0.0
current,0.0
currently,0.0
customer,0.0
cut,0.0
cycle,0.0
damage,0.0
danger,0.0
date,0.0
datum,0.0
datum be also,0.0
datum be collect,0.0
datum envelopment analysis model,0.0
day,0.0
deal,0.0
dear,0.0
debate,0.0
debt,0.0
decide today,0.0
decision make,0.0
decline,0.0
decrease,0.0
deep,0.0
defeat,0.0
defense,0.0
defense system,0.0
deficit,0.0
definition,0.0
defy,0.0
delay,0.0
deliberately,0.0
delta,0.0
demand,0.0
demonstrate,0.0
density,0.0
deny,0.0
department,0.0
department of health,0.0
departments,0.0
depend,0.0
dependent,0.0
deploy,0.0
deposition,0.0
depth,0.0
deputy,0.0
describe,0.0
design,0.0
desire,0.0
despite,0.0
destiny,0.0
detect,0.0
detection,0.0
develop,0.0
develope country,0.0
develope world,0.0
development,0.0
development in china,0.0
development in europe,0.0
development of much,0.0
development process,0.0
device,0.0
diabetes,0.0
diabrotica virgifera virgifera leconte,0.0
dialog,0.0
dic,0.0
diesem,0.0
diet,0.0
dieter,0.0
difference,0.0
different,0.0
different region,0.0
differently,0.0
difficult,0.0
difficulty,0.0
dimension,0.0
direct,0.0
direction,0.0
directly,0.0
dirk,0.0
disarmament,0.0
disaster,0.0
discharge,0.0
discuss,0.0
discussion,0.0
dismantle,0.0
dispense,0.0
disposal,0.0
dissolve,0.0
distance,0.0
distribution,0.0
district,0.0
diurnal,0.0
divergence,0.0
diversity,0.0
doc,0.0
dollar,0.0
dominate,0.0
doubling,0.0
doubt,0.0
downscaled,0.0
downscaling,0.0
dr,0.0
driver,0.0
dry matt per hectare,0.0
due to change,0.0
due to increase,0.0
duration,0.0
duty,0.0
dynamic,0.0
e,0.0
earlier,0.0
early,0.0
early stage,0.0
east,0.0
east and west,0.0
eastern,0.0
eastern and western,0.0
ecology,0.0
economic,0.0
economic and social,0.0
economic committee,0.0
economic development,0.0
economic growth,0.0
economically,0.0
economics,0.0
economy,0.0
economy and society,0.0
education,0.0
educational,0.0
effect,0.0
effect of high,0.0
effect of increase,0.0
effective,0.0
efficiency datum envelopment analysis,0.0
efflux,0.0
effort,0.0
ehrlich,0.0
eigen,0.0
eight,0.0
eight year ago,0.0
election campaign,0.0
electron,0.0
elevate,0.0
elevated,0.0
elevation,0.0
elevational,0.0
elsevier,0.0
emerge,0.0
emphasize,0.0
empirical,0.0
employ,0.0
employed,0.0
employer,0.0
employment,0.0
empowerment,0.0
enable,0.0
end,0.0
eng,0.0
enhance,0.0
enlightenment,0.0
ensemble,0.0
ensue year,0.0
entertain,0.0
entire,0.0
entirely,0.0
entrepreneurship,0.0
episode,0.0
equal,0.0
equal per caput emission,0.0
equality,0.0
equally,0.0
equator,0.0
equilibrium,0.0
error,0.0
eruption,0.0
especially,0.0
especially since,0.0
essential,0.0
essential point,0.0
essential ﻿ 1 step,0.0
establish,0.0
establishment,0.0
estimate,0.0
europe and america,0.0
europe and asia,0.0
europe and japan,0.0
european,0.0
european and american,0.0
european and mediterranean,0.0
european and national,0.0
evaluate,0.0
evaluation,0.0
every,0.0
every occasion,0.0
every part,0.0
every point,0.0
evidence,0.0
evil,0.0
evolution,0.0
evolve,0.0
exam,0.0
examine,0.0
example,0.0
exchange,0.0
execute,0.0
execution,0.0
executive,0.0
exercise,0.0
exist,0.0
exist law,0.0
existence,0.0
expect,0.0
expediency,0.0
expedient,0.0
expenditure,0.0
experience,0.0
experiment,0.0
experiment be conduct,0.0
experimental,0.0
explain,0.0
explore,0.0
exposure,0.0
expressly,0.0
extended,0.0
extension,0.0
external,0.0
extraction,0.0
extraordinary,0.0
facilitate,0.0
fact,0.0
factor,0.0
facts,0.0
fade away,0.0
faith,0.0
faithful,0.0
fall,0.0
fallen,0.0
fallow,0.0
family,0.0
farmer,0.0
favor,0.0
fear,0.0
feasibility,0.0
feature,0.0
federal,0.0
federal and state,0.0
federal government,0.0
federal government must,0.0
federal minister,0.0
federal republic,0.0
federal states,0.0
feel,0.0
fen,0.0
field,0.0
field of research,0.0
fifty year ago,0.0
finance,0.0
financial,0.0
financial sustainability,0.0
financially,0.0
find,0.0
finding,0.0
fine particulate organic matt,0.0
firma,0.0
firmly,0.0
first,0.0
fiscal,0.0
fiscal year,0.0
five minutes,0.0
five year ago,0.0
fixation,0.0
flow,0.0
fluctuations,0.0
fluorescein diacetate hydrolytic activity,0.0
flux,0.0
focus,0.0
follow,0.0
following,0.0
forage,0.0
foraminifer,0.0
foraminiferal,0.0
foreign interest,0.0
foreign nation,0.0
foreign office,0.0
foreign relation,0.0
foreigner,0.0
forest of north,0.0
forgive,0.0
form of law,0.0
former,0.0
fort,0.0
forty year ago,0.0
found,0.0
four year,0.0
four year ago,0.0
fraction,0.0
framework,0.0
frank,0.0
frankfurt,0.0
free,0.0
frei,0.0
frequency,0.0
freundlich,0.0
friedrich,0.0
friendly,0.0
froh,0.0
fruit,0.0
fulfill,0.0
full,0.0
fully,0.0
function,0.0
fund,0.0
furthermore,0.0
future,0.0
g,0.0
g yr (- 1,0.0
gang,0.0
gcm,0.0
gdp growth per caput,0.0
general,0.0
general circulation model,0.0
generate,0.0
geophys,0.0
georg,0.0
gerd,0.0
gerhard,0.0
german,0.0
german company,0.0
german industry,0.0
german public,0.0
give,0.0
give opportunity,0.0
give the high,0.0
give ﻿ 1 priority,0.0
given,0.0
glad,0.0
global market,0.0
go,0.0
go beyond,0.0
goal,0.0
good,0.0
good and service,0.0
good faith,0.0
good know,0.0
good thing,0.0
good work,0.0
govern,0.0
government,0.0
government coalition,0.0
government of china,0.0
government of south,0.0
government responsibility,0.0
gpp,0.0
graf,0.0
grain yield,0.0
grant,0.0
granulate blast furnace slag,0.0
great,0.0
great interest,0.0
great numb,0.0
grind,0.0
gross domestic product,0.0
gross primary production,0.0
grow,0.0
grow need,0.0
growth rate,0.0
guarantee,0.0
gulf of mexico,0.0
habitat,0.0
halt,0.0
hand,0.0
happy,0.0
hard,0.0
hart,0.0
health,0.0
health care,0.0
health insurance,0.0
healthcare,0.0
heavy,0.0
height,0.0
heinz,0.0
heir,0.0
help,0.0
help provide health care,0.0
hemisphere,0.0
hemispheric,0.0
herausforderung,0.0
heretofore,0.0
hermann,0.0
hessen,0.0
high and much,0.0
high commissioner,0.0
high cost,0.0
high organic matt content,0.0
high per caput income,0.0
high school diploma,0.0
high soil organic matt,0.0
highlight,0.0
historical,0.0
history,0.0
ho,0.0
hold,0.0
hold tight,0.0
home,0.0
honest,0.0
honor,0.0
hope,0.0
horst,0.0
hostility,0.0
hot meal,0.0
house,0.0
household,0.0
however,0.0
hubbard brook experimental forest,0.0
human resource,0.0
hypothesis,0.0
ice,0.0
ideas,0.0
identify,0.0
identify the much,0.0
ii,0.0
image,0.0
immediate,0.0
immediately,0.0
immunization,0.0
