Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
summer,1481.8274227935299,1,may say,1438.0145006569876,0
schwarz,1472.8848175887226,0,sore,1432.975559250921,0
approach,1463.4197726419166,0,next time,1426.6767223683496,0
discuss,1453.180325227742,0,special meaning,1422.897440921095,0
wasser,1447.8553643888824,0,werfen,1410.29994397367,0
jen,1438.2285345633816,0,gang,1385.1054556828756,0
flood,1409.6819264657702,1,dear,1358.6519893342747,0
relate,1397.7237666667277,0,2 billion euros,1357.3923199883236,0
scenario,1392.7910462141958,0,lieb,1347.6180638269475,0
little,1392.193141517005,0,rheinland,1333.3751499157652,0
ability,1385.0930366628545,0,good thing,1333.3285842887115,0
nen,1384.3183201908378,0,wasser,1317.0838679995472,0
world,1381.3050309874498,0,applause,1317.0838679995472,0
expect,1380.3845597320349,0,german company,1305.7474622405582,0
important,1374.181344845278,0,may ask,1289.372931114381,0
focus,1365.7512163696424,0,brands,1286.8538019791893,0
mean,1356.3544857695788,0,schwarz,1280.679406483615,0
design,1355.816743250942,0,wedding,1274.6695734295806,0
cause,1347.948681246287,0,interesting,1274.6695734295806,0
occur,1336.0656200964074,0,federal minister,1274.2582761200795,0
application,1329.488871169041,0,hold tight,1270.479657661727,0
case,1323.5847437662978,0,mut,1269.3730699778002,0
stadt,1318.8559914787702,0,vogel,1267.321446946295,0
work,1300.2333328348336,0,vocational education,1263.3511110284246,0
fuel,1295.7833062959478,1,government coalition,1251.5868422001838,0
conduct,1294.2886161121482,0,swear,1249.067835435847,0
yield,1262.5267091528724,0,observance,1240.579892595436,0
performance,1253.708197000676,0,next month,1239.820332726416,0
obtain,1251.4662084766119,0,kern,1239.365526636393,0
product,1251.2121696604365,0,froh,1237.732409474054,0
technology,1230.021802364688,0,firma,1234.4276114023455,0
especially,1229.71904793156,0,sees,1214.3081925122688,0
factor,1222.3953142006956,0,bundesamt,1213.8026380431384,0
demonstrate,1212.829660846305,0,health insurance,1209.3255681109035,0
condition,1205.8796440243402,0,question 2,1203.7271826079502,0
richter,1205.2597913426584,0,kontakt,1201.2083411843682,0
take,1200.8490572235462,0,german public,1197.9163794689725,0
freundlich,1197.5583629430785,0,modell,1181.924890471257,0
community,1192.0544122919114,0,angst,1179.798557954808,0
umwelt,1189.856935679589,1,therefore apply,1179.3842283602585,0
perform,1185.5528492888575,0,take advice,1178.5391797733855,0
importance,1184.9550054574906,0,glad,1175.5632067297681,0
regel,1176.379440682353,0,tax relief,1169.2813097620533,0
treatment,1132.2707073137335,0,maier,1165.2643781940435,0
aim,1127.6854273695376,0,legal position,1153.3521147547326,0
coal,1097.9740058189568,1,german industry,1152.7995627788978,0
shift,1097.0738721280704,0,satisfied,1152.092786810752,0
achieve,1094.8320561072562,0,roll call vote,1150.8334613134386,0
sample,1091.8429719196986,0,three months,1147.055499553823,0
presence,1084.547376931429,0,case law,1145.2798650940133,0
contrast,1081.5306651641968,0,therefore believe,1143.1858548572704,0
amount,1071.965673713056,0,right one,1142.0182517694668,0
day,1067.3171063863874,0,decide today,1136.9810437875242,0
jung,1062.7835489669944,0,standby,1115.8385651025355,0
require,1061.279837977771,0,five minutes,1114.3141094894604,0
produce,1059.8600458429871,0,rather must,1113.728115875945,0
able,1048.4625896068073,0,social care,1111.7370325809848,0
interaction,1044.8402002234675,0,middle class,1109.4733638819323,0
calculate,1036.1720810453726,0,hermann,1104.233039383787,0
observation,1034.2292318104544,0,sachsen,1100.345571992057,0
quantify,1033.481982598491,0,laut,1099.2032870971327,0
review,1028.6995941371865,0,measure high,1098.5845406306676,0
field,1025.1128101641714,0,frei,1093.6157776489658,0
bayer,1020.4258217807176,0,bauer,1092.6619909849305,0
comparison,1019.5084728583624,0,accuse,1090.4017326594926,0
limit,1013.7346640983963,0,professor dr,1090.3888179120263,0
follow,1012.0360471183533,0,intended,1085.3444167179455,0
storage,1005.011991932681,0,apply immediately,1084.2245002219836,0
combination,1003.9658581275309,0,fallen,1084.0333665932542,0
support,999.9688162258707,0,election campaign,1082.833664438422,0
rasch,999.2469710031039,0,natur,1072.7602807933217,1
city,993.097451676564,0,whole lot,1070.2419627671156,0
function,991.6163371250444,0,concrete proposal,1066.3588408521111,0
state,990.96395427039,0,essential point,1064.7066280650702,0
mann,990.0691695508107,0,last question,1062.1929232288894,0
context,989.7683810733706,0,quite right,1057.6505424481081,0
characterize,984.4630334831539,0,federal states,1053.3951295829281,0
explore,983.8652487059093,0,arndt,1052.6140545277624,0
develop,972.357925958528,0,economic committee,1049.624729861754,0
decline,971.3118089342605,0,offender,1047.296267201987,0
contribute,969.66791183946,0,maybe even,1043.3408426316857,0
selten,964.5906881753523,0,subvention,1042.0840821481231,0
average,955.1717858354773,0,hessen,1036.7170704661003,0
knapp,954.96394701051,0,eigen,1028.71646691236,0
describe,953.3784578348108,0,give opportunity,1023.3620738384744,0
frequency,951.360965722548,0,chancellor,1020.0522685002087,0
challenge,947.4754309917888,0,forgive,1014.4368135578765,0
experiment,946.3693831823767,0,next point,1013.1801872468588,0
depth,946.055718228664,0,therefore go,1004.3839718906177,0
know,943.7043258804307,0,little year,1002.9734709609533,0
short,942.9174093182539,0,troops,1002.251802833224,0
structure,934.3991666640944,0,statutory regulation,997.4918945961592,0
dry,932.1575297848227,1,40 years,995.9568703416057,0
small,931.2608757243248,0,shepherd,991.5390590409106,0
address,920.3516162882422,0,25 years,990.561953815312,0
type,919.417871095094,0,good work,985.5359523622827,0
report,916.9905127120514,0,wide demand,983.6807374341454,0
conclude,905.4822403842637,0,constituency,982.9374044652702,0
mittler,899.1288830570419,0,letter b,982.1083041734144,0
wald,899.1288830570419,1,positive development,979.2357680019819,0
