Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
atmospheric circulation,1035.8596871076325,1,research limitation,1084.989904806342,0
ice core,1025.871023444173,1,sea ice,988.2403530298587,1
eddy,958.579274890522,1,lgm,976.9548337323932,1
glaciation,940.9568912918879,1,late holocene,915.8328689278168,1
millennial,841.4950412191877,0,early holocene,901.3398369207733,1
calcification,837.9260551667912,0,general circulation model,869.5640429543391,0
ice cover,825.6509312969793,1,troposphere,781.3274335839287,1
bog,778.2294365013304,0,atmospheric circulation,780.3584059348375,1
surface air temperature,765.9889047594818,1,co2 flux,766.5853017407612,1
general circulation model,742.9646137486905,0,stratosphere,749.2906269065483,1
deglaciation,731.7109225427636,1,late pleistocene,740.8641228662259,1
primary care,730.9995037851368,0,younger dryas,731.6490261933756,0
global climate model,730.9153592297592,1,global climate model,713.0439739357057,1
treeline,712.7871617660063,1,seasonal cycle,685.4732056339883,0
temperature sensitivity,700.1693518729097,1,radiative force,674.953214484367,1
solar activity,692.517241092561,1,ice sheet,665.4796028384094,1
snowpack,691.6026164064563,1,low latitude,661.3615575515203,0
extreme precipitation,677.1992517790128,1,co2 storage,656.396834216137,1
summer temperature,646.3765213972873,1,ncep,644.9056790061259,1
climatology,641.1292793114583,1,pacific decadal oscillation,639.2506809836807,1
5 ka,634.254609653122,0,interannual variation,625.1487725841619,0
ecosystem respiration,631.1328573876292,1,13 value,620.5873615028393,0
glacial period,621.367393772764,1,geophys,618.7866013182432,0
surgery,616.1528529675493,0,surface air temperature,607.460002646038,1
snowfall,604.9183739411424,1,interannual,604.2636520388138,0
ka,595.041319552264,0,nee,595.2172767633365,0
snow depth,578.6461766095972,1,snow cover,590.2431759129054,1
dissolve inorganic carbon,563.2378454830894,1,ssts,585.8787171155186,0
deep ocean,556.5003078631773,1,millennial,583.763975869864,0
last glacial,551.7125230597063,1,arctic ocean,569.8134347939781,1
financial sustainability,548.5716635086006,0,chronology,567.3759789702876,0
sustainable competitive advantage,545.0138569244343,1,1029,554.5928711323688,0
ring width,543.193454937986,0,annual cycle,546.626620345018,0
atmospheric methane,542.2679576335759,1,north pacific,544.6306699119275,0
last glacial maximum,536.1197214808832,1,dissolve inorganic carbon,540.5573454742007,1
upper troposphere,535.0044174618004,1,ice core,529.9489387268429,1
1029,533.9596025143971,0,lett,524.5769194503141,0
sediment core,529.7711184688355,1,dic,524.4226088052346,0
pharmacist,514.3580164491095,0,reanalysis,519.2410581945082,0
foraminifer,512.1629025490079,0,sediment core,515.3273270734896,1
methanotrophs,502.186309701772,1,co2 injection,515.3086989510548,1
