Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
flux,1342.99917886183,0,evaluate,1192.1543535880958,0
sample,1116.9860678214002,0,assess,1126.9257756073766,0
greenhouse gas,1114.3123809802987,1,analysis,1084.9697906764138,0
adaptation,1100.3021802678384,0,emission,952.381382901498,1
interaction,1090.4201387642279,0,result show,882.4171619863419,0
mid,1085.8046437125192,0,analyze,863.2377819699261,0
multi,1053.4869926307356,0,n,856.5913805477448,0
2010,1039.2328470265288,0,similar,855.3960301523846,0
basin,1031.1306514520393,1,identify,849.3921323020713,0
context,1027.249176527665,0,g,809.7936745830921,0
nitrogen,976.0677228664545,1,species,803.6097366261633,1
minister,972.5587091517687,0,precipitation,784.523335249108,1
frequency,946.3259144399909,0,range,762.8375734673157,0
pattern,940.6826789061626,0,potential,756.038512337552,0
dynamic,922.1607770278799,0,global warm,717.2312150334214,1
measurement,881.4240914550819,1,non,704.5226018441156,0
dry,880.4535529889222,1,p,701.2894164455511,0
storage,876.5660732865977,0,atmosphere,690.4093528489936,1
snow,868.7461064712111,1,datum,683.2024799345849,0
depth,861.847123119561,0,variation,633.4586749201214,0
fiscal year,848.8381162897056,0,based,589.9929117085778,0
2000,824.4053275050064,0,predict,571.3338512347561,0
tonight,787.4820088204845,0,focus,566.5956406127616,0
sensitivity,769.5489902434157,0,greenhouse gas,537.7535925517046,1
habitat,758.7933344554572,0,warm,533.0305942976767,1
ii,748.0393157265796,0,relationship,522.9811323153285,0
explain,735.0487852219053,0,comparison,521.1473882819316,0
2012,732.7167248329573,0,context,520.1494136650687,0
vulnerability,729.378156454648,0,furthermore,505.5901665363113,0
monitor,729.0620729991881,0,role,495.3111045648943,0
cool,728.7088258515029,1,contrast,494.3205907945806,0
assessment,699.0544635145727,0,indicate,491.8925172997331,0
link,688.1167351058177,0,co,462.34021111337944,1
whereas,685.7306360660198,0,multi,441.54229702889427,0
courage,680.312585380196,0,american citizen,435.6404348943836,0
composition,675.1855033196267,0,commend,428.7229919625149,0
electricity,674.4962027562542,1,site,426.76119592712547,0
diversity,656.9342166075417,0,mid,422.9743403674214,0
detect,654.3111597565137,0,propriety,421.7800337877345,0
bio,644.6366551024637,1,environment,421.6552778484138,1
2011,644.2143919842658,0,interaction,418.0170288772445,0
intensity,641.0670630673472,0,2010,416.37461439923345,0
grassland,635.4307956500303,1,blessing,414.32619029715397,0
2013,632.7934443714113,0,associate,404.3375521824563,0
2009,626.0385675678801,0,entertain,400.20007737727565,0
evil,625.1922012525145,0,foreign nation,390.7315089178445,0
wet,605.3342014815456,1,explore,389.7506605851582,0
framework,604.7851886824596,0,destiny,388.8935237248163,0
cycle,598.3692344836488,0,r,385.2004209659693,0
elevation,597.6802455800425,0,several states,382.91247064640004,0
2015,596.8083616608315,0,defeat,380.9589016387233,0
wind,594.2832755249956,1,soldier,379.37445815828437,0
highlight,587.3827548649408,0,tonight,375.3971228227342,0
hydrogen,585.2143316898786,1,proud,373.88222619453256,0
mechanism,583.6155955927175,0,using,373.4112924796195,0
variable,580.5210136327152,0,prosecution,368.2944346168682,0
tropic,579.0204277105681,1,territories,367.8243091127381,1
fossil fuel,574.6348226611907,1,expediency,366.5070943707227,0
prediction,570.3237951409978,0,proclamation,362.2005046168513,0
index,568.0504164383024,0,instruct,356.82658698643866,0
2014,565.9004270949524,0,present year,356.82658698643866,0
2005,565.463738863976,0,describe,356.4598544943379,0
implication,561.963095439512,0,whereas,356.1728440770624,0
input,559.9887799077962,0,military force,353.3437381901649,0
location,553.9310370537182,0,hostility,353.02065134619795,0
2007,538.3634419313256,0,complaint,350.23124669428466,0
2008,532.2491345451831,0,pension,350.13465120391083,0
cloud,532.012078197387,1,concentration,349.4393764955909,0
significant,531.9416747191178,0,exist law,347.5920323732862,0
weather,524.1198673220754,1,patriotism,347.32601055807345,0
liberty,518.2116904893774,0,characterize,346.16229443240127,0
troop,516.4556331656738,0,commander,345.8707721632629,0
concept,511.6163868944288,0,practicable,345.8028004638072,0
semi,510.2393741898457,0,expedient,344.55204985636317,0
global,508.73212369748717,1,research,340.89824354014604,0
mix,506.884648851428,0,overall,339.72646928971704,0
05,499.3701855221761,0,2000,339.5441964115857,0
literature,498.88169118349197,0,likely,337.35791089610757,0
global climate change,496.31053001180703,1,combination,336.6174152890635,0
implementation,496.1464404629564,0,good faith,334.55413161786805,0
availability,491.88745807446935,0,pend,333.380275940857,0
reservoir,484.02436012760523,0,trend,333.00720583037145,0
important role,480.67485136398506,0,15,330.6649995484711,0
vehicle,470.9499565356389,1,amity,330.3221660792374,0
regional,465.8166873572791,0,british government,327.7786937727103,0
sector,465.28558777457874,0,sentiment,326.34975324757306,0
reveal,462.5643941128582,0,distribution,325.6254674342608,0
characteristic,460.7596192312107,0,pride,325.2247399914497,0
commissioner,460.52999101541917,0,instruction,323.1162212782517,0
dominate,455.16680641014983,0,foreign relation,322.8128577342567,0
resilience,453.56889956715196,0,frequency,321.764053514941,0
exposure,453.01966206846487,0,fraud,321.2339485859941,1
elevate,451.04146784623094,0,winter,320.86305536104265,1
human activity,448.6703050883318,1,sympathy,320.61903010943774,0
cold,447.6056456487545,1,must continue,320.4802541251755,0
integrate,445.9340493978558,0,13,317.5463614864359,0
2006,441.9583278638121,0,apprehension,317.31136079069347,0
heir,438.32710766526213,0,summer,315.85745916375487,1
diet,434.84662028807213,0,love,315.04947018128223,0
evaluation,430.54542406916465,0,30,313.05559512181094,0
