Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
bemühen,485.43560316652076,0,rio de janeiro,39.27040272165515,0
last session,145.22075688496167,0,Rio de Janeiro,39.27040272165515,0
gross national product,60.010184702181895,0,bemühen,28.939265498433407,0
health care reform,52.42340130365013,0,public service,25.592327887231388,0
fellow citizen,37.32469209077965,0,gross national product,10.922682448741915,0
public interest,37.32469209077965,0,last session,10.729033804595034,0
last year,37.32469209077965,0,british government,9.110630218028476,0
two country,29.812125536851,0,military operation,4.008459004442383,0
make every effort,22.323670416677896,0.0,still believe,3.769011283144213,0
still believe,22.323670416677896,0.0,second world war,3.664275439353141,0
Rio de Janeiro,15.353279401899373,0,last year,3.5454363761798007,0
foreign affair,14.859025761939902,0,fellow citizen,3.2020164345648365,0
year ago,14.859025761939902,0,wissen lassen,2.4498727874989257,0
past year,14.859025761939902,0,health care reform,2.2305988482406747,0
public service,14.859025761939902,0,great interest,1.9108706175775192,0
may well,14.859025761939902,0,national government,1.813330436455093,0
great interest,14.859025761939902,0,may well,1.3108429485953683,0
military operation,14.859025761939902,0,two country,1.2397248041896631,0
new form,14.859025761939902,0,private health insurance,0.6016869107528144,0
private health insurance,7.4178978610580435,0,new form,0.4860141988587792,0
wissen lassen,4.449561620383891,0,make every effort,0.08621811051473571,0
national government,0.0,0,new york,0.04580989698537508,0
rio de janeiro,0.0,0,federal government must,0.027823202633591396,0
second world war,0.0,0,foreign affair,0.014224614624794185,0
federal government must,0.0,0,past year,0.013682971810389688,0
new york,0.0,0.0,year ago,0.0032929970577608714,0
british government,0.0,0.0,public interest,2.8270203618063757e-05,0
