Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
government,1094.86302424779,0,united kingdom,124.37490648056541,0
increase,1012.4797883123268,0,market value,118.29320593597065,0
citizen,903.6868261417804,0,new york,77.73934664067848,0
provide,700.5824751070586,0,sierra leone,58.866284027216004,0
necessary,680.7698664227688,0,state department,58.61269210923729,0
public,648.129401911953,0,robin hood,51.703072716131686,0
security,595.1142442602867,0,san francisco,47.24406794362866,0
place,589.3132376921158,0,united states,43.463247808373424,0
future,546.4065124369017,0,winston churchill,36.79401239816876,0
support,512.0028387234984,0,right,35.99411586057409,0
purpose,464.3547019107066,0,saddam hussein,34.49552113319298,0
change,446.9753846125746,0,law,34.31557842126699,0
want,444.85919718582664,0,fade away,33.966395114424074,0
tonight,414.41637560543853,0,provide,30.97228231988129,0
claim,373.7946481978256,0,task force,30.711772390609887,0
defense,373.4137830221792,0,government,29.36857616936504,0
together,349.4326910960381,0,citizen,28.975980064669784,0
important,342.47365713611737,0,progress,28.64402696093839,0
leave,330.87677298213384,0,roll back,26.69329912364577,0
debt,307.68864914761093,0,place,26.65720614600559,0
become,301.89279367584913,0,wall street,26.25101546902333,0
economic,296.24988063350446,0,security,25.667118903798496,0
challenge,286.82576905651746,0,necessary,25.337610241291262,0
responsibility,278.34290439323263,0,one vote,23.510566201360017,0
growth,276.39661267525537,0,future,22.058103505475632,0
improvement,275.23791147128645,0,want,20.64812080877948,0
progress,272.3215002532224,0,leave,20.105589063343476,0
submit,253.22615755834565,0,political correctness,20.076660798789614,0
goal,235.85324521254557,0,unknown land,20.076660798789614,0
possible,235.60487538276826,0,high commissioner,20.076660798789614,0
reason,213.9786587291021,0,purpose,19.72574407409149,0
prevent,204.80022413811082,0,end,19.457614532074786,0
range,204.76788418389663,0,public order,17.58851139917948,0
point,196.48181995630955,0,submit,17.523247916229252,0
reduction,189.54611705103287,1,increase,16.69092073680349,0
represent,182.70890612862198,0,become,15.287035401707273,0
local,182.70890612862198,0,public service,15.287035401707273,0
regulation,179.18827523261257,0,support,15.056174175446587,0
advance,176.81691577046365,0,reason,13.705684432794554,0
work together,175.80520270702027,0,representatives,13.705684432794554,0
danger,172.71632634430142,0,change,13.59341607547924,0
essential,169.05466294955113,0,sustainable development,13.332738354067832,1
representative,161.9999236601027,0,new look,13.332738354067832,0
technology,161.9999236601027,0,commanding general,13.332738354067832,0
public service,161.27540803607747,0,defense,13.125614973822053,0
past,161.099823250987,0,understand,13.07741046241847,0
agreement,153.67872103391926,0,together,12.764267858489461,0
independence,148.5910915156787,0,american citizen,12.451818156562922,0
political,148.19748064390458,0,advance,12.140085403774949,0
situation,147.63358839035618,0,point,11.829095009351475,0
close,146.41870704365655,0,agricultural land,11.655203867518814,1
cover,144.74731287476243,0,possible,11.389566252194754,0
convention,143.2689771560051,0,claim,10.900854774008279,0
proceed,143.2689771560051,0,competitiveness,10.709320081717877,0
company,143.02229542466014,0,vaclav havel,10.709320081717877,0
constitution,141.2973222609651,0,close,10.593119040026297,0
administration,136.32999025947356,0,trade bill,10.054496661967539,0
equal,136.32999025947356,0,constitutional law,10.054496661967539,0
understand,136.14568462802697,0,russia today,10.054496661967539,0
wish,136.12266846427985,0,clarify,10.054496661967539,0
negotiation,133.86431325540966,0,irresponsible,10.054496661967539,0
insurance,132.67312065436772,0,hot meal,10.054496661967539,0
nothing,125.77455627860502,0,changes,10.054496661967539,0
agree,124.05002584643034,0,ronald reagan,9.9977057932103,0
quality,120.60109775935541,0,work together,9.67542230432798,0
economic growth,113.70377262673458,0,wish,9.67542230432798,0
delay,111.97955196315957,0,supreme court,9.519242493634179,0
conclude,110.25537554262144,0,tonight,9.371488928549637,0
found,107.79592526668124,0,goal,9.068609235796657,0
race,106.80715542093971,0,foreign office,8.84574674663012,0
survey,105.08311171498384,0,debt,8.766830221008604,0
choose,101.63515700081429,0,challenge,8.766830221008604,0
finance,99.91124598777004,0,nothing,8.166779326834444,0
science,99.3265742171294,0,prevent,8.00067733173023,0
difficult,96.46355663776684,0,san salvador,7.766199045222522,0
stability,93.0160441731192,0,territorial integrity,7.766199045222522,0
request,86.1215498228753,0,ottoman empire,7.513495591644926,0
health insurance,86.1215498228753,0,misuse,6.880088648886563,0
private,86.1215498228753,0,uss cole,6.880088648886563,0
small business,84.15679714744907,0,defense system,6.880088648886563,0
beyond,82.67456789877053,0,walter lippmann,6.880088648886563,0
negotiate,79.22776278299682,0,government responsibility,6.880088648886563,0
transfer,78.16294349393803,0,danger,6.436501222163201,0
instruction,77.50442652224149,0,negotiations,6.18954656586162,0
happy,77.50442652224149,0,peaceful change,6.18954656586162,0
currency,75.78113445634176,0,social security,6.110069532679518,0
activity,74.05788658291385,0,refer,5.822822602897644,0
international law,72.33468289953693,0,pacific basin,4.994727983423289,1
relationship,68.8884080933492,0,independently,4.994727983423289,0
suppress,68.8884080933492,0,publication,4.994727983423289,0
rather,68.8884080933492,0,administration,4.871510939610175,0
transport,66.67988554593768,0,quality,4.694501100871662,0
expedient,65.44231001854268,0,event,4.660776271848874,0
common,63.7193272493929,0,request,4.418298475133781,0
indeed,61.99638865588457,0,delay,4.418298475133781,0
competition,60.27349423559786,0,convention,4.418298475133781,0
impossible,60.27349423559786,0,constitution,4.202717777242242,0
statement,60.27349423559786,0,representative,4.175741395193826,0
decrease,56.8278379051086,0,situation,4.175741395193826,0
volunteer,56.8278379051086,0,agree,4.144786247744662,0
