Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
natural resource,344.0764583933899,1,wide range,274.92556264411303,0
wide range,315.1992196010785,0,﻿ 1,247.0145775553041,0
much likely,154.76251768502314,0,natural resource,241.17285943285,1
last session,100.7464383248215,0,much likely,116.83571920938324,0
one hand,86.69047926470684,0,united states,81.94436116999628,0
2 per cent,83.8945584246091,0,one hand,77.57070095415854,0
take place,80.09262490909786,0,take place,67.25398533762464,0
000 per annum,77.17914053031814,0,two year ago,63.413922474594784,0
much important,76.45615546458788,0,much important,62.29623759517754,0
early stage,70.82355710885548,0,early stage,59.84157903848465,0
high cost,65.00050576792286,0,high cost,57.649226058556216,0
two year ago,49.43683069045669,0,000 per annum,55.91725373008954,0
1 per cent,46.623333764349326,0,﻿ 1 time,50.145356554044334,0
main source,45.12130244565913,0,last session,50.032830108799324,0
global climate change,40.90796921476096,1,united states would,47.41038058459779,0
remain three quarter,37.492557878501785,0,﻿ 1 session,44.19561432028957,0
human resource,35.00642304511173,0,﻿ 1 time since,41.214136061229226,0
ensue year,34.72816184296447,0,main source,39.45093259477765,0
good know,33.84689802187513,0,﻿ 1 day,37.35134317117718,0
three year,28.77050121760391,0,global climate change,36.50354237933632,1
naval force,28.408158779172677,0,united nations,35.232497279748,0
reduce greenhouse gas emission,27.034164495901926,1,﻿ 1 quarter,31.56530388684968,0
corporate tax rate,26.04014435011541,0,ensue year,30.584614364015327,0
national government,26.03408795808671,0,good know,30.250978337658292,0
good faith,24.129046636290497,0,united states may,29.456140887359982,0
industrial process,23.96067028908486,1,﻿ 1 installment,29.456140887359982,0
6 per cent,23.86469948195651,0,one year ago,29.456140887359982,0
63 per cent,22.823606202402843,0,2 per cent,28.836806721639533,0
last two year,22.47093589406007,0,﻿ 1 article,28.30112098004827,0
past eight year,22.325505093621015,0,gross domestic product,26.71898154340548,0
gross national product,21.294096210437502,0,remain three quarter,26.579758396077015,0
gross domestic product,21.16464894704791,0,human resource,26.48440771608594,0
agricultural product,21.08028037460781,0,63 per cent,23.694693126345953,0
20 per cent,20.382307447132266,0,corporate tax rate,23.694693126345953,0
eight year ago,19.898286225031605,0,reduce greenhouse gas emission,23.36883079708007,1
ordinary expenditure,19.898286225031605,0,three year,22.30848346518981,0
low tax rate,19.898286225031605,0,south america,21.743082128729654,0
one year ago,19.898286225031605,0,fifty year ago,21.56943161865837,0
2 million new job,19.898286225031605,0,child left behind act,21.56943161865837,0
may contribute,19.565629680403177,0,﻿ 1 congress,20.600264894093076,0
new form,18.265299365925358,0,2 million new job,20.600264894093076,0
last four year,17.98121427804321,0,interstate highway system,20.600264894093076,0
4 per cent,17.970235570129898,0,particular attention,20.50961641973347,0
fellow citizen,17.61222607904347,0,﻿ 1 part,20.202004561099702,0
national problem,17.35611471483885,0,﻿ 1 instance,19.950560565452605,0
