Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
chain polyunsaturated fatty acid,203.0028553618007,0,atmospheric carbon dioxide concentration,19.194437875858966,1
reduce carbon dioxide emission,153.47722113196303,1,reduce carbon dioxide emission,18.163288580216104,1
atmospheric carbon dioxide concentration,134.8130911121814,1,greenhouse gas nitrous oxide,15.064840948547822,1
1 part per thousand,116.10478122427315,0,chain polyunsaturated fatty acid,14.452769621002687,0
5 part per thousand,95.77551319232231,0,1 part per thousand,12.28300992486308,0
2 part per thousand,80.22387899604598,0,global climate observing system,12.025705093090814,1
reduce greenhouse gas emission,71.57924959640116,1,n yr (- 1,11.027064868931543,0
3 part per thousand,61.79796144361312,0,c yr (- 1,11.027064868931543,0
per caput ecological footprint,58.04687085722168,1,5 part per thousand,11.027064868931543,0
datum envelopment analysis model,51.493482869292194,0,elevate carbon dioxide concentration,11.027064868931543,1
greenhouse gas nitrous oxide,47.76650760997403,1,2 part per thousand,10.037135983642116,0
4 part per thousand,47.560590181126656,0,3 part per thousand,10.037135983642116,0
use datum envelopment analysis,45.18260828750533,0,greenhouse gas carbon dioxide,9.116629878894422,1
6 part per thousand,43.97670666896509,0,4 part per thousand,9.057114026563816,0
chronic obstructive pulmonary disease,36.15100006764794,0,8 part per thousand,9.057114026563816,0
8 part per thousand,34.87184003860125,0,total greenhouse gas emission,9.057114026563816,1
7 part per thousand,32.79755853732205,0,chronic obstructive pulmonary disease,8.419530652844998,0
soil organic matt content,32.77734057111536,0,c g (- 1,8.088471534253312,0
increase soil organic matt,28.326817207051505,0,6 part per thousand,8.088471534253312,0
per caput per day,26.77926742962657,0,7 part per thousand,8.088471534253312,0
per caput water consumption,26.164713626271066,1,atmospheric greenhouse gas concentration,8.088471534253312,1
water consumption per caput,25.9709796385943,1,total carbon dioxide emission,7.882420084058104,1
land use,22.620374182610135,1,anthropogenic greenhouse gas emission,7.133050771896862,1
high per caput income,22.620374182610135,0,2 yr (- 1,7.133050771896862,0
total greenhouse gas emission,21.81280143819324,1,n kg (- 1,6.193198979171708,0
per caput net income,19.299309761737547,0,total soil organic carbon,6.193198979171708,1
per caput energy consumption,19.049799440075503,1,mol yr (- 1,6.193198979171708,0
electricity consumption per caput,18.579190288892534,1,abdus salam international centre,6.193198979171708,0
plant,17.821120886915892,1,greenhouse gas emission may,6.193198979171708,1
energy consumption per unit,16.01585023072009,1,per caput ecological footprint,5.746814034201236,1
confocal laser scan microscopy,16.01585023072009,0,united nations environmental programme,5.558128076593235,0
per caput water use,15.125707788244824,1,shanghai jiao tong university,5.558128076593235,0
anthropogenic greenhouse gas emission,14.594875574747572,1,high per caput income,5.558128076593235,0
total carbon dioxide emission,14.494750025256309,1,von bertalanffy growth curve,5.558128076593235,0
greenhouse gas carbon dioxide,12.853438107355707,1,﻿ 1 5 year,5.558128076593235,0
chambered microbial fuel cell,12.782154717626582,1,soil organic matt pool,5.271971795932892,0
predawn leaf water potential,12.782154717626582,1,growth,5.271971795932892,0
type 1 diabetes mellitus,10.687996915329563,0,reduce greenhouse gas emission,4.684036081515998,1
elevate carbon dioxide concentration,10.268212407989385,1,1 cm (- 1,4.545809605948548,0
per caput material consumption,9.617838003038237,1,g yr (- 1,4.373450832622336,0
per caput arable land,9.617838003038237,0,15 part per thousand,4.373450832622336,0
per caput water resource,9.219445919403697,1,use datum envelopment analysis,4.1946044749148115,0
per hectare per year,8.615644259488562,0,mgnh4po4 center dot 6h,4.1946044749148115,0
soil organic matt c,8.51114796365216,0,sloping land conversion program,4.0386169796835105,0
high soil organic matt,8.069723577622057,0,diabrotica virgifera virgifera leconte,3.6962589304881845,0
atmospheric greenhouse gas concentration,8.009307387926182,1,cell g (- 1,3.5032621869267437,0
greenhouse gas emission may,8.009307387926182,1,sierra san pedro martir,3.5032621869267437,0
per caput electricity consumption,7.357433618842123,1,5 cm (- 1,3.5032621869267437,0
per caput fish consumption,7.351839702910397,1,carbon dioxide emission increase,3.5032621869267437,1
native soil organic matt,7.1237744433173305,0,carbon dioxide per year,3.5032621869267437,1
per caput food consumption,6.927268082147549,1,moderate resolution imaging spectroradiometer,3.5032621869267437,0
high greenhouse gas emission,6.749926460266018,1,﻿ 1 step toward,3.418703963071664,0
per caput waste generation,6.557714861083703,1,1 h (- 1,3.0135482156123174,0
production,6.557714861083703,0,monte carlo simulation technique,2.8995354305535628,0
per caput grain production,6.557714861083703,0,acoustic doppler current profiler,2.8995354305535628,0
average per caput income,6.557714861083703,0,per caput material consumption,2.8995354305535628,1
granulate blast furnace slag,6.557714861083703,0,﻿ 1 time use,2.8995354305535628,0
low per caput income,6.557714861083703,0,per caput net income,2.8995354305535628,0
per caput per year,5.855367139441569,0,lake trout salvelinus namaycush,2.8995354305535628,0
per caput food production,5.797656077633363,1,chemical engineers environ prog,2.8995354305535628,0
per caput annual income,5.797507502067717,0,united nations framework convention,2.8995354305535628,0
efficiency datum envelopment analysis,5.797507502067717,0,kg ha (- 1,2.7693029406043195,0
energy consumption per caput,5.451577967618164,1,multivariate adaptive regression splines,2.669471199728765,0
total soil organic matt,4.945561968283613,1,production,2.669471199728765,0
growth,4.694742239636767,0,high greenhouse gas emission,2.669471199728765,1
wide range,4.694742239636767,0,decrease carbon dioxide emission,2.669471199728765,1
energy use per caput,4.509044603416498,1,﻿ 1 100 yr,2.669471199728765,0
700 mu l l,3.6963286637435866,0,equal per caput emission,2.669471199728765,0
