Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
waste,1487.4938494816427,0,statutory pension insurance,1449.3269354814215,0
energie,1471.7512270749958,1,question come,1435.6343248480896,0
field,1470.3112900121048,0,drucksache 14,1402.9207960201907,0
require,1459.8276210803674,0,employed,1397.941874554306,0
indicator,1458.7431031364858,0,take purchase,1383.9263814576007,0
schwarz,1437.9169240337492,0,give order,1374.4293264356506,0
benefit,1434.2813646096668,0,first time,1369.1532292631925,0
demonstrate,1411.5069129081241,0,ansatz,1326.9456255101027,0
jen,1404.08281951885,0,abg,1325.2366038697314,0
objective,1394.9986109535114,0,telecommunications,1322.438909198659,0
deutsche,1394.6844636958008,0,bear responsibility,1316.3940591478422,0
efficiency,1381.3823774277355,0,messages,1279.642489490562,0
observe,1368.4892156811654,0,soziales,1274.1891913278744,0
reduction,1360.5308340854754,1,look closely,1267.7740694126041,0
ecosystem,1358.1265481355838,1,good cooperation,1256.2528224660807,0
nen,1351.4520635670888,0,point 1,1240.4269741434082,0
perform,1341.0162152512214,0,bahn,1238.3168869447227,0
industry,1314.8690190748544,1,give land,1234.0967310382002,0
manage,1312.7540766385362,0,niedersachsen,1228.8215710218124,0
state,1309.9288040300253,0,listing,1227.2854237185636,0
however,1307.157469255749,0,mitte,1225.1553776170642,0
scale,1304.6271234869141,0,hans,1224.2433649285776,0
contribute,1302.2172733665734,0,energie,1218.2713683765676,1
explore,1292.698393937998,0,bild,1218.2713683765676,0
lack,1291.613967526825,0,latest,1204.0889265782198,0
stadt,1287.54340843656,0,may say,1202.4463625668068,0
follow,1281.8541564343425,0,value added tax,1200.4241407755017,0
issue,1277.2754961306641,0,point 2,1199.2814049836004,0
future,1274.1427346280072,0,sore,1198.2264223828372,0
important,1270.4075254395007,0,special meaning,1189.7866206616554,0
importance,1269.3231111826394,0,allowed,1188.7316528708775,0
decision,1260.6719518561,0,far part,1183.5990102738572,0
factor,1254.6233318106156,0,know well,1182.7166761229946,0
market,1245.1532246865695,0,1 billion euros,1172.9073366269904,0
mean,1243.5893454314364,0,pfalz,1172.0324153552958,0
structure,1225.4650745626568,0,stiftung,1166.5777167292026,0
type,1203.254489565145,0,guess,1156.681342815887,0
produce,1202.4520411417893,0,4 percent,1131.8821895115007,0
harvest,1200.2832873243965,0,gang,1128.1324167421067,0
activity,1194.2589835736333,0,rheinland,1126.8230960609444,0
describe,1177.7524847960206,0,strategie,1123.3270019503611,0
account,1177.0295755722248,0,voll,1116.9978836004111,0
richter,1176.6434073613611,0,business area,1104.7021632583476,0
large,1175.5837579127174,0,palatinate,1101.1077658563443,0
freundlich,1169.1247775626755,0,brevity,1098.9796547158935,0
establish,1161.848542569964,0,technology committee,1093.7916949337373,0
decrease,1154.2580695237225,0,4 billion euros,1085.353311151757,0
umwelt,1148.7537117862262,1,papier,1083.2437347644914,0
regel,1148.4485549994904,0,schmidt,1076.7881324585294,0
catalyst,1135.9446665175242,0,next month,1075.8602796531532,0
conservation,1132.6916454634,0,schwarz,1073.5659562241012,0
assessment,1132.0892347410831,0,items,1073.323588728195,0
purpose,1119.6796144547445,0,vogel,1069.3693221088818,0
group,1110.041127853344,0,may ask,1067.1888536307426,0
fuel,1077.5115804307943,1,dear,1066.1769120301688,0
demand,1057.2712416691386,0,mut,1065.8580468475245,0
especially,1039.1996846951615,0,brands,1065.083169886939,0
government,1032.0915839489803,0,interesting,1064.0303338096644,0
little,1028.8387327582664,0,repeal,1061.9706815677382,0
effectiveness,1004.6232300103137,0,kern,1057.7133989416436,0
literature,1000.0452079042302,0,federal minister,1054.5549842901492,0
bayer,996.196794723004,0,references,1053.590015827285,0
effective,991.4915632606,0,german company,1045.2525991990362,0
care,978.2395104057423,0,written response,1042.1086064279223,0
billig,973.6410418899484,0,30 percent,1038.0527715778633,0
evaluation,965.3189184374936,0,good thing,1036.1786059277583,0
mann,965.1253003194563,0,last word,1035.7804052180252,0
life,961.2529172453227,0,glad,1034.7257124886876,0
meet,956.554523475024,0,therefore apply,1033.499802583584,0
goal,944.627881445898,0,25 percent,1028.1653799221222,0
groundwater,942.0979968768455,1,froh,1024.025501292177,0
combination,932.5808408942224,0,wedding,1020.703701446934,0
presence,929.3503957922763,0,german public,1015.6041832426897,0
network,926.6778176628787,0,observance,1007.0888355365256,0
limit,924.7135809524887,0,je,1005.5391268149133,0
conclude,919.5701190620332,0,alliance 90,1005.0779170530935,0
company,918.8473036782174,0,sees,994.8992923366527,0
consumer,915.5258991210504,0,therefore welcome,989.3760108000844,0
nature,914.7513547981147,0,question 2,986.0018232837404,0
organization,912.8238523617836,0,take advice,985.1576477265531,0
difference,908.4869787100873,0,point 3,985.0792077594048,0
oil,908.433540154881,0,modell,984.9513225138876,0
relate,906.9208877710221,0,set agenda,982.9741735772786,0
improvement,902.2226223533397,0,german industry,977.7116670896404,0
education,899.6927917255802,0,idee,972.449274340182,0
function,897.0139435715934,0,tax relief,971.7875686978392,0
similar,894.2717369309902,0,case law,971.5215912770944,0
monitor,893.0670600944142,0,therefore believe,969.6947400285553,0
consumption,884.6343426700453,0,measure high,965.0821178139447,0
condition,880.4179973661862,0,legal position,964.0664030289432,0
technologie,878.4116255347874,0,satisfied,963.0118661862462,0
biodiversity,877.8881944743894,1,child benefit,961.9248347772298,0
mittler,877.7792751869134,0,question 3,958.7937434173937,0
wald,877.7792751869134,1,every day,949.8123271058987,0
respect,871.1420691618996,0,rather must,939.8126858399576,0
sample,870.6602039436827,0,hirsch,932.0313331293884,0
example,865.2392282846408,0,apply immediately,927.1975686475363,0
relation,858.686088336164,0,right one,925.7113276263617,0
concentration,857.7703526911278,0,standby,924.78754796995,0
size,856.8066288512466,0,call first,922.9413328592383,0
