Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
predict,1101.9173467207884,0,carbon,1005.1460127991996,1
risk,1100.6556729676117,0,study,687.183691095103,0
significantly,1033.8049576905184,0,water,662.6896037858214,0
appropriation,1026.7008716282264,0,emission,632.6502227467197,1
basin,987.1344490872176,1,soil,617.5998820572356,1
wind,982.3608587556984,1,energy,602.4088101299635,1
decrease,952.4571921957588,0,species,517.7994995690159,1
let,866.7747946433069,0,appropriation,495.32389444559266,0
stress,858.4647322947991,0,gas,484.988695050144,1
authorize,824.4384378145849,0,environmental,469.7966454213781,1
nitrogen,813.4221749930728,1,n,458.6035083204651,0
approach,813.2246523225847,0,scale,442.1374837131027,0
storage,806.8176629227028,0,constitution,425.7586293112443,0
commerce,773.9862422787131,0,civilize,398.02422152671966,0
dry,768.5718224084918,1,president,397.61943293493624,0
constitution,758.4993537341778,0,significant,390.51030104814913,0
index,750.3178200869452,0,warm,377.7130887266984,1
environment,732.5485471769298,1,constitutional,375.93483489022555,0
electricity,719.1472694358055,1,departments,368.28137978698487,0
pressure,713.0925141045116,0,global,365.17415937531337,1
size,697.5377629647917,0,base,351.29923303067596,0
observation,682.5093971973263,0,legislative,351.18043446911867,0
root,675.5203946531713,0,citizens,346.06587700083173,0
cover,660.4625173153947,0,let,342.9574819043756,0
tropical,657.7241749423525,0,practicable,337.78236414428443,0
cloud,611.2744199665963,1,executive,335.6294901341502,0
landscape,580.3284074070069,1,region,333.5757612271844,0
indicate,570.2802055013659,0,commerce,331.2311911853743,0
friend,554.537743401972,0,respect,330.1290062148921,0
adapt,554.4475590442012,0,certainly,328.3875102324364,0
gene,552.8040049933243,0,plant,327.6021266671871,1
solar,546.2506030621955,1,equality,321.9710010247695,0
marine,542.9650350794625,0,forest,321.2762123977995,1
sector,542.6958276611484,0,department,320.96944743561903,0
assessment,541.1967730123449,0,foreigner,319.0317684073117,0
zone,537.9519156388723,0,process,315.2487065824809,0
diversity,530.6239045801897,0,importation,309.053972780433,0
observe,521.9720240047313,0,equally,308.52155819175755,0
content,505.0457298216797,0,treaty,306.3143599593211,0
network,493.7339727067746,0,civilization,305.5853254257381,0
acid,492.2080075776378,1,term,302.94551625659875,0
productivity,491.23521100328554,0,duty,301.8986964899248,0
thing,485.2756368506003,0,existence,295.09173948413445,0
chemical,482.66656121612925,0,area,289.32765511755883,0
type,480.7740292388867,0,naval,287.6278293601452,0
drive,480.5157710760237,0,mr,283.3102344535737,0
plot,479.97320447290116,0,civil,281.1797027682508,0
capture,471.871969218521,0,execution,279.68164770823387,0
performance,468.8879593486417,0,immediate,278.64271992234694,0
appoint,465.84165248750975,0,person,277.64031582315306,0
resolution,463.27240031199335,0,immediately,276.9574541287264,0
conservation,460.74653137760833,0,proper,274.1184969278381,0
freedom,459.7326709188189,0,federal,271.97363030641645,0
wave,441.704283666631,0,level,267.39686160136114,0
breed,440.6448046040225,0,care,264.7842984221425,0
radiation,438.6031080498083,1,regional,263.90845290635957,0
design,428.66175879765433,0,ocean,258.41446960472433,1
cell,422.1114522527136,0,execute,257.72720512560346,0
minister,421.32505266171586,0,consideration,257.2833679062694,0
experiment,418.72122324580164,0,certain,255.04146298246584,0
mere,417.8416496595089,0,potential,254.36863097277617,0
extreme,417.0690129920001,0,entirely,253.61000855693055,0
wheat,409.672500904024,0,debt,251.35655017991573,0
mass,405.7731712914999,0,friend,250.17501843019443,0
spring,400.61193874841666,0,significantly,246.4983275377896,0
shift,399.6650127624119,0.0,faith,245.9081159167221,0
mix,392.88447593261606,0.0,money,245.73094773693688,0
net,387.93575464848493,0,providence,241.76559679492487,0
elect,386.494614636054,0,properly,241.06813014550232,0
mechanism,385.52362399377364,0,revenue,238.4568671117961,0
solution,381.282798192928,0,prosperous,234.1527991948253,0
indicator,381.1878678949653,0,carefully,232.13871942934642,0
projection,376.7620562517398,0,navy,230.76708662945046,0
monitor,376.44167037713584,0,mere,230.43819437482682,0
mineral,372.59773291124185,0,prosperity,226.10214155340387,0
constitutional,367.75214431164704,0,lately,226.10214155340387,0
naval,365.3739707743125,0,season,224.49145693258208,0
cold,365.2020952320565,1,heretofore,223.21317013198217,0
seed,358.68191724730264,0,honor,222.7272048949252,0
burn,351.54047626636833,0,import,222.41936057486785,0
waste,350.1330699056107,0,court,220.34674565411427,0
pend,348.28465256436095,0,representatives,218.9580520452963,0
sure,346.5890419424848,0,mail,216.49944955514584,0
ought,344.41140272076774,0,practically,214.30701876560408,0
laborer,342.57405555417745,0,management,213.62833806900682,0
expense,341.8811473676497,0,continue,211.84978322471667,0
electric,337.5913870527538,1,treasury,211.65823927235226,0
states,335.12558767746015,0,constitute,210.05566740650283,0
decline,330.93903211078657,0,republics,208.8553929056769,0
quality,330.5392303815825,0,pron,207.50180695494885,0
peaceful,329.74095951051163,0,fuel,205.92179738264733,1
soldier,329.1852456166934,0,hope,205.6970470715797,0
functional,326.11272169806165,0,vegetation,205.2927593929869,1
loss,325.99880803065844,0,faithful,203.87642281542503,0
honor,325.68055422670005,0,army,203.80844242180993,0
abundance,322.76542147160063,0,territories,202.6985835540128,1
irrigation,322.6953590131245,1,spirit,201.0138611399334,0
arid,321.60227506019186,1,independence,200.72014459344192,0
herewith,317.9750632607365,0,prompt,195.47339277465744,0
faith,316.59257004383954,0,recommendation,195.420288378386,0
