Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
coast,1475.7665871304464,1,bild,1428.8596725370835,0
bayer,1459.1887149484314,0,reply,1410.4938775233409,0
objective,1459.1408534025811,0,tat,1389.9678900221288,0
pollutant,1446.2107082092434,1,technologie,1368.3621583419545,0
disaster,1444.9792668111713,0,friedrich,1363.2596426354185,0
driver,1434.512021797843,0,norbert,1355.3990064902835,0
height,1426.5076662553638,0,vogel,1353.2385024250093,0
reagieren,1421.8825940506254,0,completely different,1350.3507038269454,0
largely,1420.3504745753542,0,schwarz,1346.7570269590178,0
chamber,1416.2866934472204,0,parliamentary,1338.1061063293707,0
primary,1413.577568639514,0,werner,1336.6397666460525,0
protect,1409.883258479887,0,paragraph,1330.5535817609468,0
leave,1405.5732318945988,0,frank,1329.7168352961683,0
weight,1395.1060331487777,0,nordrhein,1314.3504899138923,0
multiple,1392.0274476213465,0,aktiv,1303.54862850415,0
detect,1385.870279755927,0,added,1301.5888937290667,0
wald,1377.504566802372,1,suffering,1301.3882756392013,0
output,1375.706889212361,0,exam,1265.080908035185,0
concrete,1364.9359408224127,0,social policy,1260.7917576692791,0
selection,1351.3902182975964,0,praxis,1260.7863711871119,0
verkehrs,1347.0461560912552,1,becker,1250.3564375900423,0
liquid,1341.2770207773628,0,police,1248.388549144874,0
bitter,1339.327322376486,0,andrea,1243.061270476937,0
increasingly,1335.9973767749696,0,relieve,1240.8959965064992,0
point,1328.0624160834884,0,roth,1233.9480805493843,0
aufs,1327.6635551894426,0,hart,1227.412601807707,0
need,1326.7616846190144,0,tenant,1224.4120357973763,0
profile,1317.996887766431,0,peaceful,1224.3052338303141,0
eco,1313.2160200978722,1,agricultural policy,1223.3925979363346,1
exchange,1307.0589066651096,0,ostrich,1217.0107995266046,0
release,1299.0546655592293,0,offender,1212.6136750566461,0
income,1298.4389550030633,0,items,1211.2629920250924,0
investment,1286.3956332065413,0,frankfurt,1209.2608685487476,0
represent,1263.9592317057463,0,pds,1207.7204793096844,0
dependent,1262.1121074345933,0,otto,1199.8121343923021,0
sand,1260.7414114667936,0,afghanistan,1183.1126926332954,0
grind,1249.7979554128538,0,required,1180.2853424788962,0
action,1246.0510970788994,0,security policy,1175.0196070828258,0
israeli,1244.5954778651135,0,called,1142.3703996284148,0
improvement,1238.7152331368877,0,deliberately,1127.801050803777,0
space,1238.708363219283,0,facts,1120.2066434167768,0
potentially,1235.6367016164445,0,impression,1119.2155766914723,0
conversion,1233.1738771661232,0,coming,1118.6934862604448,0
body,1227.6325246388456,0,modell,1104.175186957182,0
especially,1220.8597651173975,0,operated,1095.5813213942292,0
spatially,1217.165534819082,0,ort,1076.7752407891508,0
landfill,1217.165534819082,1,baden,1071.7735301848136,0
technological,1210.9488908445646,0,tate,1061.6342894389484,0
infrastructure,1209.7770788160592,0,subvention,1059.474801171135,0
previous,1207.9299657723454,0,firma,1056.2355860766909,0
freeze,1207.9299657723454,1,georg,1049.757218600655,0
section,1207.314261509819,0,welcome,1048.4251389834849,0
fruit,1206.082853111349,0,judicial,1039.7331213573614,0
fort,1203.5731743449783,0,solidarity,1011.027568806065,0
milk,1202.3886289375082,0,dismantle,1009.1839110199792,0
lead,1196.2865804221356,0,enlightenment,1008.7295556801528,0
additional,1183.9175310293174,0,heinz,1001.172216607036,0
contribute,1183.301828424239,0,voter,1001.0818491139988,0
contain,1181.454720866127,0,interesting,998.2158846723097,0
depend,1180.2194297001101,0,rein,997.9333951018455,0
separation,1163.599367533138,0,known,985.4115314861058,0
reveal,1156.210955926119,0,gerhard,983.8987699441916,0
short,1151.2853515886804,0,dirk,975.2622973883056,0
tolerance,1148.2068502602942,0,horst,972.2785838468396,0
feature,1137.7399536964806,0,sabine,969.8645885432147,0
erneuerbarer,1123.3041462176382,1,tax reform,969.0130754714872,0
nuclear,1122.394443173511,1,terrorist,961.368828212624,0
evaluation,1121.1160844114402,0,niveau,960.1488827388472,0
recycle,1117.5209945939976,1,feel,956.6000873037253,0
concern,1107.57073235849,0,walter,956.0031785128318,0
consumer,1106.2294421632234,0,struggle,954.7982946405829,0
evaluate,1105.7236404915704,0,honest,948.543631895349,0
equilibrium,1105.7236404915704,0,disarmament,947.1949544837748,0
old,1103.3192656130868,0,world war,939.6386824840218,0
combine,1099.5666703651855,0,abuse,935.6159173443137,0
tax,1096.4132012061843,0,gerd,929.1532599320723,0
iran,1088.1515334647795,0,knapp,922.9346565375918,0
salt,1088.0203912761078,0,matthias,915.8913173467689,0
critical,1076.170222666164,0,monika,912.6531506459875,0
rural,1075.5545275026834,0,brandt,908.335637089802,0
bear,1073.8852247277014,0,abolish,907.6104607024566,0
relation,1071.260551433015,0,aging,903.3021688657611,0
fertilize,1069.3975782125754,1,novella,896.4627257634982,0
reach,1066.5104979694343,0,created,894.3040546406165,0
mixture,1066.3191051621282,0,deny,892.8389095124776,0
empirical,1062.0092446772621,0,stiftung,891.6348328703122,0
inventory,1060.7778563508539,0,strange,888.7593227605528,0
experience,1057.0836923892055,0,punishment,887.6890636966909,0
dissolve,1052.7738363692279,0,ulrich,886.7997769334039,0
economy,1051.6904817001807,0,accepted,878.7834090067772,0
schiff,1049.3868510204964,0,ideas,876.6210243867979,0
tarif,1046.6179480018432,0,dialog,873.4040647897485,0
allow,1041.8163331033686,0,pol,872.5621499048905,0
operational,1033.687356185003,0,personality,867.0096648581274,0
reflect,1031.2245875244605,0,main emphasis,863.0047504102804,0
distance,1029.9932034503138,0,allies,863.0047504102804,0
literature,1026.2990522454438,0,employer,862.685561909428,0
stability,1021.6497692389144,0,morally,859.7408944321362,0
free,1008.695374163007,0,suggested,858.9783573597359,0
column,1007.828319186149,0,ehrlich,854.370943213439,0
