Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
interglacial,1265.5138638463532,1,enso,870.4353591166766,1
kyr,1071.8049262319225,1,anomaly,841.4818197568729,0
equatorial,942.3319196402686,1,ka,726.7148633753916,0
stratosphere,934.9261177071803,1,climate model,716.6750268023138,1
chronology,844.0374533862006,0,pco,687.7039892562259,0
eddy,837.5182771529969,1,antarctic,683.4387971016138,1
stratospheric,836.8206853876823,1,pleistocene,649.860878542622,1
troposphere,824.0901399909376,1,permafrost,615.2048314867227,1
tropospheric,802.2714454837861,1,phenology,608.3858501845941,1
reanalysis,779.8059220196303,0,originality,605.8952909534098,0
health care,713.561648648157,0,interglacial,601.9116326438118,1
soil respiration,646.6683915431978,1,phenological,548.6123785667482,1
tumor,642.2320193935782,0,interannual,507.99078802929307,0
physician,631.1547632501797,0,warming,504.7472073052188,1
treeline,629.5731490923424,1,hiv,496.9211817730329,1
forcings,620.1703314959584,1,diatom,461.3472652089763,1
glaciation,604.8047153004661,1,troposphere,457.33834688590133,1
bog,584.4186679394752,0,reconstruct,456.00462690368977,0
snowmelt,578.2580390495086,1,gcm,429.261193151818,0
surgical,575.1797637869513,0,ensemble,427.46898311795394,0
pain,558.1720542465384,0,miocene,417.6854150427328,1
acclimation,545.8538399457761,1,stratosphere,416.90748366385026,1
uplift,534.8662100916964,0,healthcare,414.18922969464944,0
depositional,526.264245606229,1,climatic change,410.8440927830567,1
hemisphere,512.9327763599631,0,tropospheric,409.61573549660466,1
foraminifer,509.6349235914619,0,climatically,390.89261296118616,1
retrieval,507.45306584722675,0,eocene,390.51201473080613,1
calcification,500.0772765038783,0,forcings,382.1781229687991,1
stratigraphic,497.60716124149735,1,sea ice,379.1238044168735,1
adolescent,489.714577358462,0,stratospheric,376.59927359186497,1
paleosol,480.8851052455771,1,patients,370.8720086488449,0
physical activity,478.87233464462474,0,depositional,367.94352222035246,1
ice sheet,476.8158951277842,1,peatlands,360.62903077375404,1
latitudinal,476.54376496078606,0,surface temperature,357.49194613971025,1
climatic change,476.0820569325216,1,sedimentary,348.83473699258025,1
zonal,476.0820569325216,1,reanalysis,346.0448079792721,0
radiocarbon,473.7704371787627,1,equatorial,345.3583394879494,1
eruption,473.41868738695234,0,downscaling,342.7856624270181,0
medication,463.761622160767,0,nao,340.9951083657888,0
retreat,450.58096292788787,0,staff,340.761041625382,0
surgery,443.6988960057551,0,dryas,339.59356401085836,1
chironomid,438.2760484132654,0,tundra,338.80265138182426,1
abrupt,437.8762718888476,0,stomatal,336.96246285961683,0
snow cover,436.8886850087634,1,nurse,324.5974944042609,0
snowpack,433.09242097649553,1,volcanic,324.32237395267157,0
anomalous,429.100658259559,0,doc,323.989019141834,0
efflux,421.7847780373179,0,covariance,323.94377102198473,0
methanotrophs,418.07989146088266,1,cal,323.8737463491954,0
facies,413.3659562750738,1,tibetan,321.4500813360369,0
predictability,407.2483257124836,0,chronology,316.36311702570237,0
pension,406.2236395307743,0,kyr,312.10962293053694,1
climatically,404.7512925231317,1,peatland,311.8956778335237,1
downscaled,391.86958719600534,0,lgm,309.22964420916446,1
elevational,391.22466051457087,0,ipcc,306.84762362582455,1
methane emission,390.6207838634309,1,timescale,300.86187627886636,0
therapeutic,389.6495486928298,0,sea level,290.25816698852987,1
meltwater,386.14426813243216,1,clinic,289.82744775749535,0
meridional,385.263416844567,1,latitudinal,283.25499950440997,0
aridity,383.0417823026712,1,gpp,281.75533057872497,0
heat wave,380.48576290171013,1,radiocarbon,275.5304218919524,1
ecotourism,379.25303339390877,1,elevated,273.44467491217716,0
fen,372.8300772325056,0,modis,269.2587749347281,0
eocene,372.4871450247644,1,stratigraphic,263.7342379682192,1
adherence,370.69855540284783,0,diurnal,263.5274634501243,0
moraine,369.10478888855187,1,eddy,263.37659242444136,1
symbiont,363.4083000072303,0,cancer,262.7783732804456,0
northward,361.66446804086087,0,upwelling,260.2882201637511,1
hydrogel,355.90906882912515,1,climate warm,251.6234173139859,1
