Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
success,1477.1699999983578,0,herausforderung,1425.1123930970914,0
perspective,1475.3756030904792,0,shepherd,1402.9926182841668,0
critical,1464.6253924456005,0,defy,1368.9635107232127,0
regulation,1461.0419131763394,0,beck,1364.301706870307,0
cool,1459.2501764848935,1,eng,1342.4378766230848,0
nutrition,1448.4997633970968,0,diesem,1322.1761867559576,0
operational,1441.3328287332708,0,berichten,1298.358432429035,0
intensity,1439.5410959654798,0,messages,1267.0644636098855,0
promote,1438.6452297173798,0,allgemeine,1261.7828727131855,0
security,1435.0617656207528,0,prime minister,1256.6794747617191,0
israel,1431.2374672837304,0,bauer,1254.7326588948722,0
schwarz,1425.7153602326,0,natur,1230.1053556408065,1
university,1425.277692114281,0,employed,1227.5578036822433,0
collect,1418.9361949819204,0,latest,1222.1926222051488,0
society,1401.9147908987177,0,shorten,1220.9568811965255,0
bald,1394.9590898438128,0,greener,1215.8538270950035,1
empirical,1393.8520318684775,0,unity,1208.9070171042094,0
competitive,1385.7892801171577,0,leiden,1200.3855782970954,0
trotz,1379.6967791804993,0,graf,1184.3859818458086,0
actor,1377.7265356467278,0,bauen,1179.1580111014114,0
salt,1373.3910770330285,0,bahn,1175.881456517437,0
participation,1368.9182353472968,0,umwelt,1174.1805669329933,1
account,1364.288644372537,0,bayer,1173.1000617856855,0
strong,1360.7052101146005,0,middle class,1153.8517372630702,0
cultivation,1358.913493524385,0,thought,1151.1404112622508,0
infection,1353.5383459127154,0,pages,1146.1352227632726,0
composition,1350.8507733201889,0,counting,1135.1172723303114,0
practical,1341.8922038532812,0,richter,1124.8570748716174,0
pollutant,1337.412922489623,1,amendments,1115.1232059984777,0
umwelt,1334.0487878157946,1,reply,1107.850040754025,0
similar,1329.3502216983086,0,friedrich,1095.0951376912092,0
friendly,1323.0792372255842,0,karl,1088.0986853430893,0
iron,1320.3916738002367,0,banken,1086.5920496896238,0
island,1320.3916738002367,0,completely different,1084.8914496330997,0
resident,1316.8082571576786,0,accusation,1072.9874147856244,0
contain,1315.0165493761388,0,josef,1072.9874147856244,0
remain,1306.058015858886,0,parliamentary,1071.347191494215,0
point,1305.3800201546123,0,friend,1070.131647136074,0
finding,1292.6202324338212,0,questionable,1065.226152876557,0
poor,1288.140975785476,0,norbert,1064.4847120986694,0
akt,1286.5591769463972,0,vogel,1062.7841896965429,0
increasingly,1279.1824692302748,0,werner,1058.532910333859,0
output,1277.6775290130472,0,schwarz,1057.6826590444114,0
location,1277.3907689981095,0,located,1053.4314256233183,0
cross,1275.5990691244451,0,tat,1044.24957455362,0
fertilization,1273.8073696112644,1,christian,1042.9243455243948,0
milk,1268.4322732266921,0,aktiv,1023.6738859041756,0
cancer,1263.0571800785362,0,occasion,1023.5770904049105,0
leaf,1263.0571800785362,0,added,1023.3746561282643,0
common,1260.1489761533533,0,connected,1019.147361573338,0
communication,1258.5779382592484,0,labor union,1012.6215848735457,0
liquid,1257.9995478437206,0,januar,1002.4197075978674,0
planung,1254.9466444606094,0,constitution,1000.6686796060319,0
zp,1253.427011612531,0,frank,990.7309329487596,0
score,1251.4111560231568,0,fulfill,990.26450722671,0
medical,1249.6194613621165,0,roth,989.0322840137976,0
educational,1248.7236141673966,0,praxis,982.593753890682,0
strategic,1243.0494715467225,0,becker,979.6993609901332,0
ans,1241.4388097608055,0,ostrich,979.4663711465739,0
rasch,1241.2785759734486,0,exam,969.7720455333343,0
balance,1227.6707974212866,0,andrea,965.2765020042424,0
author,1225.4316186310487,0,banks,962.1735501237083,0
organizational,1223.639929182602,0,otto,955.0962197151648,0
step,1220.952395684964,0,social policy,952.1256337704402,0
cause,1220.0565513651648,0,institut,948.8542949406841,0
vaccine,1219.1607071362293,0,frankfurt,942.1078097384957,0
travel,1217.3690189459905,0,relieve,941.6911219217824,0
stability,1214.1732189312586,0,deliberately,941.5232473791257,0
free,1203.8898914926467,0,hart,933.9302598859648,0
healthcare,1202.139683848215,0,offender,931.2517230925628,0
address,1198.5563146584684,0,studie,928.7172361679643,0
way,1197.660472585463,0,underlying,928.4393388616852,0
tung,1197.1546924605773,0,required,927.8724199241924,0
interview,1186.3066747959347,0,hermann,917.4138475306701,0
image,1182.4601249390696,0,items,913.4870776878028,0
cut,1174.3686102400893,0,security policy,911.8354101271001,0
bayer,1163.9706632734924,0,dispense,907.0235872748109,0
damage,1162.7227018487386,0,pds,902.1319977738583,0
professional,1156.3164896512185,0,facts,899.1133756687117,0
mixture,1154.6601587836224,0,afghanistan,896.5969747968483,0
precipitation,1131.3684085960624,1,strategie,892.3286262234502,0
pesticide,1130.472573263369,1,fear,890.3646842929941,0
isolate,1125.993397949939,0,coming,883.8480239512201,0
sequence,1125.0975631564663,0,peaceful,883.5097743052053,0
maximum,1124.74052915021,0,impression,881.8891125977832,0
possible,1122.4100593162614,0,modell,879.6078640627379,0
forestry,1117.9308880459905,1,keyword,878.9490199176089,0
theoretical,1116.1392201675667,0,tenant,865.4556308024752,0
govern,1114.9037095631734,0,certainly,860.5339645898962,0
depth,1101.8058900774574,0,operated,854.3990861510657,0
partnership,1100.5959001686672,0,ort,853.6720636184504,0
wald,1098.8115584686022,1,agricultural policy,838.5752401353445,1
disaster,1097.3267291431982,0,baden,837.1184281410075,0
collection,1095.5350653977878,0,subvention,831.5777200566658,0
productive,1093.7434020128467,0,joachim,826.4792435186772,0
corporate,1088.3684140129058,0,dieter,825.6295055373953,0
poverty,1080.3059380806585,0,submit,825.3820731808651,0
examine,1068.6601523618178,0,welcome,824.539727826464,0
altern,1068.1401668060566,0,tate,822.7992610943352,0
customer,1063.2851794608785,0,soon,818.9737482339093,0
