Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
indicator,1295.9725231643345,0,c,1298.9543330041922,0
risk,1278.8469363104193,0,study,843.6821398376308,0
acid,1191.7161752872285,1,energy,689.4249554222544,1
cell,1165.378951271413,0,environmental,668.9682122480826,1
harvest,1161.4625385745478,0,management,556.9865964860903,0
patient,1085.8571030596213,0,base,503.2796946874256,0
assessment,1083.546048213462,0,water,463.2085310269688,0
network,1009.4128452383358,0,development,444.054186624066,0
chemical,996.0694970712187,0,research,436.6698831464314,0
tree,970.2445938238199,1,soil,397.84832599440944,1
fishery,896.782496969152,0,appropriation,391.3437892419328,0
wind,890.4643044117369,1,process,389.8228975151823,0
gas,889.5123306098063,1,duty,371.84352232798346,0
let,879.9912425715813,0,president,367.719370234028,0
landscape,872.0636335403152,1,constitution,353.56228513318933,0
sector,793.391800364785,0,civilize,350.6754900710227,0
review,781.4596906337879,0,treaty,325.4914083553276,0
electricity,779.7188253401551,1,let,322.5881622973693,0
authorize,769.5011025308792,0,departments,318.3249745657304,0
significantly,759.7487376585611,0,immediately,304.7131046027787,0
metal,756.0119123223935,0,citizens,303.86368756586546,0
solar,709.6333624961204,1,certainly,292.7605190032891,0
irrigation,683.6596587978678,1,foreigner,287.51092966334613,0
size,680.2611787793733,0,civilization,285.9597523864768,0
solution,678.9183660124552,0,equally,275.5839266295966,0
regional,670.6485847431466,0,mr,274.39707612313356,0
index,664.2693212591364,0,significant,273.5387478074519,0
innovation,661.7822071347807,0,lawful,273.4649433330743,0
gene,643.0168223629544,0,production,272.6242656182208,0
implementation,599.5705685156382,0,importation,271.10798413886096,0
governance,598.7902293449483,0,respect,268.6049923734795,0
wheat,580.5996377797335,0,practicable,267.00826288653417,0
say,580.0622953741445,0,constitutional,264.0368686676,0
productivity,571.5614458843413,0,promptly,263.11975701843846,0
content,567.7675413169809,0,term,262.244545585921,0
nitrogen,565.4334906479263,1,scale,260.1926467855648,0
tool,561.1753345459897,0,approach,258.27076492203537,0
renewable,558.6961870750257,1,carbon,257.92166045462267,1
integrate,551.6524191508927,0,naval,254.33456299218219,0
disease,542.7829698742338,0,area,253.43876257020636,0
resistance,536.450376115982,0,entirely,247.22170355164383,0
seed,533.3241249132686,0,plant,243.2361899868083,1
diversity,525.3092154808492,0.0,commerce,241.36650092427382,0
capacity,515.6662751894746,0,economic,240.46165461046917,0
identify,508.80783118317197,0,legislative,240.3392343342159,0
season,486.3419837560141,0,crop,239.48536667370948,0
root,474.58167295012436,0,existence,237.07231268558712,0
alternative,472.85305272603216,0,species,232.4011898060833,1
graze,452.6266634377184,0,continuance,231.22893194492144,0
right reserve,452.0234019608487,0,equality,231.09731326637583,0
implement,444.73787135047615,0,paper,227.4765448405563,0
stress,441.1726884645807,0,immediate,225.25760864171247,0
vegetation,438.5103453806778,1,potential,222.452298145517,0
appoint,436.7481816737717,0,resource,220.64027256936055,1
type,425.3559695935312,0,executive,220.55841481569928,0
animal,424.13782964120537,0,n,218.9319314493251,0
institutional,422.5380179721614,0,heretofore,218.09748271867528,0
generation,417.616804360204,0,level,217.6702434449495,0
breed,412.5474325535889,0,department,217.3575935495121,0
monitor,406.86309689177375,0,territories,213.8780921896987,1
storage,406.85999083013405,0,providence,213.6706889158229,0
learn,403.8184867676332,0,representatives,211.14613483965385,0
culture,401.01824723678703,0,lately,210.0203015328041,0
key,395.366115384526,0,federal,208.18770962026161,0
cultural,393.03230473535837,0,navy,203.31874367192543,0
function,382.4245604730613,0,friend,202.47858385720053,0
freedom,377.51837443980736,0,govern,199.7834383244244,0
manager,376.4166633963919,0,pron,197.6213993328511,0
electric,365.6291182699237,1,execution,193.44886278019885,0
drive,365.17006898847336,0,consideration,193.1969842945839,0
functional,361.6853666042885,0,prosperous,190.97961873340432,0
minister,361.551888882185,0,proper,190.68530806949025,0
zone,361.5269754797812,0,faithful,189.31738204023875,0
predict,360.9618272677503,0,republics,189.31738204023875,0
target,359.5785943611717,0,faith,189.02144429707917,0
pollution,359.40125722932663,1,assessment,188.4928275990567,0
non,357.93497676128385,0,civil,187.8552791562461,0
participant,357.3513533926972,0,factor,187.76115196759224,0
evaluate,355.666779554895,0,entire,186.56514969684304,0
marine,355.64322007196387,0,nearly,184.4529564574373,0
mere,353.8277537828766,0,court,182.9862391648843,0
elect,351.17867443814214,0,certain,181.8639522553437,0
plot,349.6487703164039,0,treasury,180.88920680335582,0
researcher,346.9543948672204,0,hope,180.74185741528413,0
distribution,344.8845702115004,0,execute,180.34800946526505,0
basin,341.8230245401354,1,person,179.1407794767749,0
fee,341.531263988444,0,method,178.7265386734146,0
pressure,340.73810609128014,0,mere,177.98900282653244,0
ought,334.9972923527507,0,performance,177.1768790733561,0
environmentally,331.33634209931176,1,honor,176.92938024946602,0
indicate,329.3253706269159,0,import,176.72196169998867,0
positive,328.2985619247758,0,congress,176.47080628230495,0
mechanism,327.7990515070112,0,urban,175.51219024090747,0
sure,327.55912832484364,0,reasonable,174.89868153048553,0
flood,326.1471842183382,1,forest,174.72397612074903,1
engineer,322.5463592557882,0,design,172.8567132846969,0
cover,321.8470431099701,0,establishment,172.71832245842074,0
decrease,321.177848448386,0,continue,171.17860672997153,0
firm,317.069163657879,0,say,170.90951132973453,0
transition,315.7843495607329,0,money,169.6641885851104,0
