Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
deal,1438.2378234512998,0,climate change,116.90110870250157,1
circa,1193.765904692696,0,global,87.4606828216746,1
representative,971.7683724721912,0,change,80.8884393420692,0
back,887.7412647557013,0,production,77.05401228859137,0
responsible,823.4179641053893,1,co2,74.31335253334089,1
bird,714.1771699432943,1,air,68.78283723682426,1
today,676.8881401204208,0,day,60.56990971352303,0
difficult,599.9382942813804,0,balance,60.56990971352303,0
possibility,563.8215687056343,0,co,56.489090616222995,1
integration,549.3950925194357,0,study,52.54006981094278,0
consideration,479.5214956474928,0,central,50.99032027462175,0
later,430.81314211592445,0,size,50.56727329913571,0
protocol,422.3068897994812,0,hand,49.2048559876706,0
black,372.1363891814127,0,committee,49.2048559876706,0
peace,362.27437592502224,0,opinion,49.2048559876706,0
moreover,347.50958820102625,0,correct,49.2048559876706,0
jan,301.35112722988794,0,ja,49.2048559876706,0
percent,210.2237386771996,0,hold,49.2048559876706,0
nuclear,192.20916608097468,1,safety,49.2048559876706,0
first,183.8565536818887,0,disposal,49.2048559876706,0
china,169.20792089417802,0,come,49.2048559876706,0
former,168.6258010116437,0,bring,49.2048559876706,0
attempt,151.55076888130884,0,prevent,49.2048559876706,0
africa,112.89266702172176,0,agree,49.2048559876706,0
possibly,112.18773939594212,0,costs,49.2048559876706,0
co2,106.71515799432561,1,first,49.2048559876706,0
turn,82.80311782605673,0,completely,49.2048559876706,0
six,69.07755278982137,0,heavy,49.2048559876706,0
agricultural,69.07755278982137,1,lead,48.59491346054608,0
although,69.07755278982137,0,kind,48.4213698344706,0
climate change,69.07755278982137,1,influence,46.10444207554747,0
scientific,69.07755278982137,0,method,44.89917297017445,0
example,69.07755278982137,0,resolution,44.671872184623965,0
damage,69.07755278982137,0,young,44.510723943556954,0
fraction,69.07755278982137,0,active,44.3744387840033,0
conclude,69.07755278982137,0,meeting,43.73004099383492,0
forest,69.07755278982137,1,arise,43.60609472764304,0
directly,69.07755278982137,0,stars,43.60609472764304,0
hand,69.07755278982137,0,modification,43.60609472764304,0
law,69.07755278982137,0,effect,43.30714385530359,0
property,69.07755278982137,0,property,43.30207177286377,0
man,69.07755278982137,0,zone,43.06407335457618,0
renewable energy,69.07755278982137,1,discuss,42.72209024096884,0
height,69.07755278982137,0,agricultural,41.52920207401297,1
discharge,69.07755278982137,0,emphasize,41.39114154364045,0
content,69.07755278982137,0,clearly,41.39114154364045,0
introduce,69.07755278982137,0,forest,40.92307202565689,1
usa,69.07755278982137,0,long,40.53579092227574,0
probably,69.07755278982137,0,quality,40.44836588410527,0
treatment,69.07755278982137,0,africa,39.776548906148605,0
ja,69.07755278982137,0,economic,39.42498448272755,0
reveal,69.07755278982137,0,serve,39.05731104217281,0
particularly,69.07755278982137,0,debate,39.02656653150491,0
however,69.07755278982137,0,ab,39.02656653150491,0
war,69.07755278982137,0,see,39.02656653150491,0
respectively,69.07755278982137,0,discussion,39.02656653150491,0
perspective,69.07755278982137,0,consequences,39.02656653150491,0
similar,69.07755278982137,0,crucial,38.29839219434572,0
union,69.07755278982137,0,education,37.50448471154962,0
household,69.07755278982137,0,product,36.64310721148638,0
thousand,69.07755278982137,0,china,36.64310721148638,0
lead,69.07755278982137,0,look,36.0899007989661,0
include,69.07755278982137,0,raise,35.95430122355056,0
aspect,69.07755278982137,0,content,35.25345530321033,0
shift,69.07755278982137,0,coal,35.15674406297592,1
je,69.07755278982137,0,law,35.09974154463289,0
shape,69.07755278982137,0,episode,35.09974154463289,0
contrast,69.07755278982137,0,call,35.09974154463289,0
share,69.07755278982137,0,act,35.09974154463289,0
experience,69.07755278982137,0,choice,34.40694813631619,0
behavior,69.07755278982137,1,error,34.05334845832829,0
therefore,69.07755278982137,0,back,33.63439749215007,0
duration,69.07755278982137,0,run,33.41866091383736,0
issue,69.07755278982137,0,cause,33.38110411435997,0
infrastructure,69.07755278982137,0,absence,33.11189029779021,0
expect,69.07755278982137,0,function,33.09824149088064,0
three,69.07755278982137,0,contrast,32.44993524796189,0
central,69.07755278982137,0,achieve,32.28886617146554,0
strategy,69.07755278982137,0,ii,32.28886617146554,0
activity,69.07755278982137,0,representative,32.091690459818714,0
current,69.07755278982137,0,introduction,32.091690459818714,0
influence,69.07755278982137,0,reduction,32.08148320626549,1
agree,65.95345577314487,0,week,31.651727109322167,0
episode,64.24487294693643,0,income,31.630072135664072,0
stars,63.0986032249428,0,full,31.61057814383399,0
times,62.0106954261162,0,24,31.224137207621084,0
safety,61.24249083544583,0,reduce,30.18212054916421,0
look,58.10184787073902,0,following,30.153495886526677,0
remove,49.25310745730896,0,good,29.953403121276665,0
disposal,34.20557906118597,0,stability,29.348276599293115,0
renewable,33.81654596617625,1,activity,29.34790349239887,0
context,33.81654596617625,0,growth,29.305973866688987,0
achieve,33.81654596617625,0,signal,29.160746908956867,0
cause,33.81654596617625,0,six,28.80415338602296,0
production,33.81654596617625,0,union,28.250435994974808,0
reduce,33.81654596617625,0,je,27.949315980835856,0
reference,33.81654596617625,0,discharge,27.878064868807826,0
correspond,33.81654596617625,0,household,27.28661113018252,0
occur,33.81654596617625,0,issue,27.267866736827784,0
additional,33.81654596617625,0,scientific,26.606146934896913,0
