Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
arm,1462.6755408897632,0,congress,167.64630422840997,0
certain,1240.6962043543745,0,war,133.12171109510874,0
right reserve,1236.858636778198,0,carbon,118.84435353283364,1
variation,1168.3423138950584,0,peace,113.11122414884115,0
character,1139.6165027687234,0,american,112.55835375488053,0
dynamic,1084.2633614859951,0,plant new tree,111.7229770447445,1
green,1076.898987416243,1,government,110.52782041193592,0
special,1044.38093484181,0,law,110.25717487351223,0
course,1037.0865146602403,0,people,106.89625851200262,0
ring,1015.896425863336,0,act,101.07819860159378,0
pattern,1005.8116907790437,0,climate,97.26046723304958,1
trend,994.3732088858735,0,federal,96.67499862112301,0
multi,947.9178431838977,0,come,93.6099657350112,0
investigate,943.155529084948,0,bring,91.56771583476599,0
greenhouse,937.5345039176863,1,legislation,89.52638901554882,0
organic,917.505574573031,0,climate change,83.33833843306998,1
mid,907.3667265949257,0,subject,77.59628073620651,0
associate,878.4006054748967,0,union,77.29998192378774,0
tree,878.1556947473255,1,atmosphere,75.48337715356459,1
toward,877.5197210845856,0,call,74.46746168531719,0
exercise,876.0170122766093,0,emission,74.30310617421976,1
experiment,870.5518127380176,0,consideration,73.84722311053062,0
prove,870.2874821038928,0,greenhouse,73.80680592273028,1
portion,854.3799405799367,0,00,72.84540475098825,0
charge,854.2155840324302,0,make,71.38747961869177,0
prevent,852.2336362639983,0,ice,68.72836907846751,0
education,842.3238980539003,0,labor,67.14486895606115,0
self,838.3600030544737,0,sensitivity,65.67556340393885,0
significantly,832.4283128403304,0,historical,65.67556340393885,0
vegetation,829.3675312693982,1,much,64.3355130276056,0
identify,820.2978488228607,0,character,64.10554016360697,0
hand,802.6849557168309,0,cycle,63.67155626615076,0
sample,789.7334232674423,0,hold,63.09326134441199,0
north,787.5464043587152,0,fossil,60.40212231759619,1
opinion,784.847437167712,0,country,60.31280248904665,0
evaluate,779.5752402487659,0,see,58.960609334270885,0
greenhouse gas,773.8240651110872,1,rainfall,58.64700758089921,1
render,751.1543558965053,0,sea level,58.64700758089921,1
settlement,747.1904647737243,0,great,58.43413222461022,0
variable,732.6982205505005,0,public,58.42221994935903,0
note,729.352956843237,0,variation,58.27602819343139,0
drive,721.1509612889778,0,house,57.02915761224222,0
dry,719.1958857570505,1,arctic,56.89335950799564,1
rainfall,712.7389451523576,1,render,56.020195909315255,0
regional,712.5459674315772,0,would,55.78502203583327,0
manufacture,709.5335075913423,0,analysis,55.29938337592282,0
chemical,696.592000880911,0,year,55.26062912539482,0
tropical,691.2850849865628,0,protect,55.193177069900905,0
alter,690.9225483098783,0,correlation,55.141257180861594,0
urban,688.5138851134767,0,evolution,55.141257180861594,0
adapt,683.580844692196,0,opinion,55.011766608880976,0
organization,681.7862857219087,0,service,54.817936376136856,0
ho,677.8223975487448,0,good,54.16390495153263,0
deal,675.8404535305438,0,fossil fuel,53.390786463638065,1
via,661.0895771682964,0,coastal,53.390786463638065,1
respectively,650.2148447864054,0,vegetation,53.15673790851175,1
analyze,636.2483216845594,0,states,53.14043678498064,0
drought,621.9331666552255,1,impact,52.408388371272345,0
lake,618.3827255824044,0,right,52.11778698010903,0
branch,612.4182671655685,0,solar,52.083450419655655,1
welfare,608.4543819523665,0,delta,51.64204080116105,0
back,608.4543819523665,0,relatively,51.64204080116105,0
east,606.3909800759908,0,using,51.64204080116105,0
sequence,596.6342419319855,0,mid,51.64204080116105,0
delta,596.1879335892735,0,radiation,51.45575722456957,1
mix,594.4003814825652,0,model,50.818107119014165,0
risk,590.3568011385028,0,tree,50.31545947773411,1
summer,588.1756744250174,1,united states,50.07524722222404,0
diversity,586.708606974624,0,mexico,49.978224469829684,0
consumption,571.5972257780825,0,exercise,49.978224469829684,0
winter,570.2060158004895,1,education,49.978224469829684,0
negative,566.242360826051,0,contrast,49.895122138377886,0
examine,565.6885479697778,0,cool,49.895122138377886,1
atmosphere,560.4628944210185,1,moisture,49.895122138377886,1
storage,557.2683779503147,0,prediction,49.757745267265705,0
zone,552.2146960941061,0,global climate,49.757745267265705,1
rice,551.298325463135,0,core,49.757745267265705,0
wind,547.508082589281,1,weather,49.62604054890231,1
immediate,543.0503002274074,0,toward,49.31844092329516,0
characteristic,540.2582136409096,0,upon,49.07700006196063,0
stress,540.0830855076765,0,one,48.958339146632795,0
index,534.881072675852,0,power,48.30401168280394,1
global warm,532.6819898905944,1,characteristic,48.15014198378995,0
agree,531.1586539319223,0,frequency,48.15014198378995,0
assessment,527.1682999636812,0,sequence,48.15014198378995,0
extreme,526.6450757057544,0,acid,48.15014198378995,1
permanent,521.248949853083,0,datum,48.062866985011816,0
adaptation,517.8164858064283,0,tropical,48.062866985011816,0
component,516.2145343489019,0,cloud,48.062866985011816,1
basin,511.41074478041816,1,full,47.97848064305879,0
shift,506.0699352569591,0,portion,47.96919268086958,0
observation,504.4760784127662,0,response,47.62056553811243,0
transport,503.19253810595563,0,prevent,46.96570547544843,0
density,503.0853327481261,0,arm,46.96570547544843,0
nitrogen,502.0504111191626,1,man,46.75235342302455,0
heavy,498.9092088091671,0,variable,46.4072226444164,0
corporation,493.501784015881,0,erosion,46.4072226444164,1
hard,492.32904009714724,0,indicator,46.4072226444164,0
fossil,487.36227666839585,1,experimental,46.4072226444164,0
cool,485.90357969786936,1,assess,46.4072226444164,0
