Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
carbon,1388.7668537598097,1,every,123.15369010915215,0
species,1277.4309827135673,1,nation,117.87915579315668,0
identify,1210.7944955566522,0,united states,86.62125513445167,0
multi,1209.1920997321076,0,american,82.06727868453817,0
commission,1169.5704057800021,0,federal,80.01856343186341,0
cycle,1116.7009888843863,0,states,75.65527863941583,0
emission,1057.99030229698,1,debt,72.77197818927539,0
green,1039.5866569880934,1,man,71.9576341622219,0
cell,1033.8544608231527,0,legislation,68.33564258502793,0
evaluate,986.6037047135424,0,law,68.01771992288803,0
log,960.5847729091397,0,indian,64.52556228802155,0
chemical,950.0932679656682,0,authority,64.4734595399932,0
culture,932.2926192219197,0,make,64.10677383101637,0
party,904.920897002515,0,much,62.26752497331057,0
framework,825.449948307746,0,pay,62.10919796858184,0
concept,811.2379450817614,0,commission,61.78265875101533,0
assessment,804.1804992072819,0,pass,61.78265875101533,0
climate,790.9492090465724,1,time,57.14554407703628,0
integrate,781.950425857694,0,great,57.107974376149514,0
organic,780.6560973680852,0,government,57.107974376149514,0
investigate,777.5460250950148,0,year,56.864062073272635,0
indicator,745.5019923020443,0,desire,56.30709451703797,0
dynamic,702.8055371483226,0,act,55.827579421952805,0
fully,694.4457463464505,0,party,55.39594868224526,0
acid,689.3568003357508,1,go,54.95472964010946,0
consumption,675.3968074703489,0,keep,54.485247459508855,0
analyze,665.7991577446157,0,sustainable,52.93067103435687,1
rice,649.6102548522829,0,good,52.81290779311138,0
diversity,648.3444029022455,0,would,51.507164938601534,0
surface,632.5408745891227,0,home,51.05788403810516,0
note,623.1352910158694,0,people,50.315748635533055,0
risk,622.3284583911593,0,provision,49.305355016119194,0
significantly,622.2261764677318,0,labor,49.20045485037508,0
sample,611.5064644224254,0,country,49.16269103579617,0
via,605.8597146007343,0,land use,49.13190737610986,1
renewable,602.0792821232037,1,relatively,49.13190737610986,0
wee,601.9237224858482,0,density,49.13190737610986,0
catalyst,599.9717770395428,0,environmentally,49.13190737610986,1
characteristic,586.2650089922827,0,settlement,48.123934665336606,0
examine,585.8256279741277,0,last,47.51738889672117,0
harvest,579.5328869471592,0,carbon,47.23597800027946,1
associate,577.839668406182,0,spin,47.23597800027946,0
implementation,577.5105771044296,0,currently,47.23597800027946,0
experiment,566.3093441562057,0,utilization,47.23597800027946,0
literature,564.1397156029512,0,negative,47.23597800027946,0
alternative,558.8846790457801,0,characteristic,47.23597800027946,0
evaluation,556.6267520180295,0,assess,47.23597800027946,0
technique,556.3652227679305,0,evaluation,47.23597800027946,0
enhance,552.2645482313321,0,criterium,47.23597800027946,0
flow,549.7707047760503,0,america,47.16479010255307,0
option,544.6754193764132,0,one,46.24269957739352,0
network,543.4687255240156,0,dynamic,45.840908639327466,0
component,539.1634211553356,0,budget,45.771152228293545,0
density,534.7799123345335,0,indicator,45.34256414835594,0
complex,527.2845246687232,0,contrast,45.34256414835594,0
electric,518.8602773293348,1,green,45.34256414835594,1
mix,517.1150874799255,0,coastal,45.34256414835594,1
respectively,507.26545227908207,0,literature,45.34256414835594,0
intervention,498.9794981380801,0,decision make,45.34256414835594,0
explore,486.6026906958891,0,convention,45.24807366494417,0
tool,483.0377541014325,0,new,44.92300467783667,0
generate,478.7519179828535,0,mexico,44.50098286890318,0
cross,472.21446143348953,0,united,44.2348110343616,0
predict,466.0876082898307,0,nitrogen,44.00718595185829,1
perspective,460.39671916510144,0,component,44.00718595185829,0
sacrifice,458.97194459323487,0,technique,44.00718595185829,0
reveal,458.1480441087109,0,significantly,44.00718595185829,0
whose,452.1044087040649,0,evaluate,44.00718595185829,0
landscape,449.7991704712646,1,constraint,44.00718595185829,0
positive,447.38561403836735,0,variable,43.451848499394806,0
drive,445.545442081698,0,power,43.120258632921264,1
corporation,445.44792607054075,0,perspective,42.177966086316914,0
variable,443.3727006831485,0,datum,42.177966086316914,0
reaction,442.4440464366025,0,overall,42.177966086316914,0
finding,442.3385763014956,0,institutional,42.177966086316914,0
concentration,442.153777892009,0,implication,42.177966086316914,0
emerge,440.7184955164033,0,analyze,42.177966086316914,0
highlight,439.2286160478213,0,sample,42.177966086316914,0
deficit,437.5301099772203,0,variation,42.177966086316914,0
describe,436.8331210356009,0,develope country,41.63563375829648,0
electricity,433.16461372543574,1,highlight,41.56403483087001,0
behavior,428.3924549649533,1,us,41.11436243573627,0
states,425.27198721741775,0,vegetation,40.35356191749139,1
index,424.17446167534246,0,landscape,40.35356191749139,1
load,421.90249708734285,0,user,40.35356191749139,0
climate change,421.8061106595064,1,integration,40.35356191749139,0
pattern,419.6944976497121,0,give,40.06842119055352,0
wind,417.48542184464077,1,implementation,39.86445174071207,0
week,417.00510911404103,0,dry,39.86445174071207,1
difficulty,410.9011534130778,0,fertilizer,39.86445174071207,1
mechanism,408.70957775606274,0,analysis,39.86445174071207,0
negative,408.0544862776686,0,integrate,39.86445174071207,0
tree,406.56749695592566,1,acid,39.67935139855959,1
physical,404.11502261165435,0,finding,39.67935139855959,0
land use,403.8546644354557,1,structural,39.67935139855959,0
outcome,402.75703914832064,0,evolution,39.67935139855959,0
content,401.1890171984264,0,already,39.50398065186573,0
chain,395.2329073181694,0,cycle,38.09978969084234,0
critical,393.5614959690381,0,tree,38.09978969084234,1
criterium,392.38716982149907,0,biological,38.09978969084234,0
