Keyword,Label
ab,0
absence,0
accept,0
access,0
accumulation,0
achieve,0
act,0
action,0
active,0
activity,0
adapt,0
adaptation,0
additional,0
additionally,0
adequate support,0
adopt,0
advance technology,0
africa,0
agenda,0
agent,0
agree,0
agreement,0
agricultural product,0
agro,0
allocate,0
almost two,0
alone,0
already,0
already lead,0
also,0
alter,0
alternative,0
although,0
america,0
american,0
american citizen,0
amity,0
analysis,0
analyze,0
annual cycle,0
anthelmintic,0
apparent,0
application,0
apprehension,0
appropriate,0
aragonite,0
argue,0
argument,0
arise,0
arm,0
asia,0
aspect,0
assess,0
assessment,0
associate,0
association,0
assume,0
attempt,0
attitude,0
australia,0
authority,0
availability,0
average per caput income,0
avoid,0
back,0
background,0
balance,0
barrier,0
base intervention,0
base mental health service,0
base upon,0
based,0
become much,0
biological,0
black,0
blessing,0
bog,0
boundary,0
branch,0
bring,0
british government,0
budget,0
c,0
calcification,0
call,0
capital,0
capital gain tax,0
caprock,0
care,0
caregiver,0
carry,0
catalyst,0
cause,0
cell,0
cellulose,0
centennial,0
central,0
central american country,0
certain,0
chain,0
change,0
changes,0
character,0
characteristic,0
characterize,0
chemical,0
child left behind act,0
china,0
choice,0
choose,0
chronology,0
circa,0
clay,0
clearly,0
clinician,0
collaboration,0
combination,0
come,0
come year,0
commander,0
commend,0
commercial,0
commission,0
commissioner,0
commitment,0
committee,0
community development,0
comparison,0
competition,0
complaint,0
completely,0
complex,0
component,0
composition,0
concentration,0
concept,0
conceptual,0
conclude,0
conference,0
conflict,0
congress,0
consequences,0
consideration,0
constraint,0
consumption,0
content,0
context,0
continue,0
contrast,0
convention,0
core,0
corporate tax rate,0
corporation,0
correct,0
correlate,0
correlation,0
correspond,0
costs,0
cotton,0
country,0
coupled model intercomparison project,0
courage,0
course,0
crab,0
creation,0
criterium,0
critical,0
crop,0
cross,0
crucial,0
cultivation,0
culture,0
current,0
currently,0
cycle,0
damage,0
date,0
datum,0
day,0
deal,0
debate,0
debt,0
decadal variability,0
decision make,0
deep,0
defeat,0
deficit,0
definition,0
delta,0
density,0
deposition,0
depth,0
describe,0
desire,0
despite,0
destiny,0
detect,0
detection,0
develope country,0
develope world,0
development process,0
device,0
dic,0
diet,0
different region,0
difficult,0
difficulty,0
dimension,0
direction,0
directly,0
discharge,0
discuss,0
discussion,0
disposal,0
distribution,0
district,0
diversity,0
dominate,0
drive,0
duration,0
dynamic,0
e,0
early holocene,0
early stage,0
east,0
eastern,0
ecology,0
economic,0
economic development,0
economic growth,0
economically,0
economics,0
eddy,0
education,0
effect,0
eight year ago,0
electron,0
elevate,0
elevation,0
emerge,0
emphasize,0
employment,0
energy,0
enhance,0
ensue year,0
entertain,0
eocene,0
episode,0
equal,0
equator,0
error,0
especially since,0
essential ﻿ 1 step,0
european,0
evaluate,0
evaluation,0
every,0
every occasion,0
every part,0
every point,0
evidence,0
evil,0
evolution,0
evolve,0
examine,0
example,0
exercise,0
exist law,0
expect,0
expediency,0
expedient,0
experience,0
experiment,0
experimental,0
explain,0
explore,0
exposure,0
extension,0
external,0
extraction,0
extreme,0
facilitate,0
fact,0
fall,0
fallow,0
farmer,0
feasibility,0
federal,0
federal government,0
fellow citizen,0
fen,0
fifty year ago,0
finance,0
financial,0
financial sustainability,0
find,0
finding,0
firm,0
first,0
fiscal year,0
five year ago,0
fixation,0
flow,0
fluctuations,0
flux,0
focus,0
following,0
forage,0
foraminifer,0
foreign interest,0
foreign nation,0
foreign relation,0
forestry,0
former,0
forty year ago,0
four year,0
four year ago,0
fraction,0
framework,0
free,0
frequency,0
full,0
fully,0
function,0
furthermore,0
g,0
general,0
general circulation model,0
generate,0
geophys,0
german,0
give,0
give ﻿ 1 priority,0
global market,0
go,0
go beyond,0
good,0
good faith,0
good know,0
government,0
grain yield,0
great,0
great interest,0
great numb,0
gross domestic product,0
gross national product,0
gross primary production,0
grow need,0
growth,0
growth rate,0
hand,0
hard,0
harvest,0
health care reform,0
heavy,0
height,0
heir,0
help provide health care,0
high cost,0
high school diploma,0
highlight,0
historical,0
ho,0
hold,0
home,0
hostility,0
house,0
household,0
however,0
human resource,0
hypothesis,0
ice,0
identify,0
ii,0
immediate,0
impact,0
