Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
federal government,269.95647722270905,0,people and government,174.78531751570404,0
land,134.17794255626137,0,law and order,156.9734515557764,0
citizen,99.7473847134342,0,colleague,149.50205957040583,0
year to year,64.03783666901495,0,federal government,138.70295564692344,0
state and federal,38.40520406453939,0,country of american,111.221988784543,0
people and government,38.40520406453939,0,year to year,78.58946953021098,0
year of peace,12.795924742292225,0,citizen,68.31225124363543,0
right and duty,12.795924742292225,0,form of law,44.11802332037751,0
colleague,8.983495436852039,0,land,37.90439977185467,0
law and order,0.1468657149676928,0,year of war,30.530583652170282,0
year and year,0.0,0,federal and state,8.006013491329668,0
country of american,0.0,0,year and year,6.952209367132063,0
form of law,0.0,0,state and federal,5.151747929043836,0
federal and state,0.0,0,year of peace,5.087666344804973,0
year of war,0.0,0,right and duty,1.1046692261494684,0
