Word_1,Score_1,Label_1,Word_2,Score_2,Label_2
result,965.6166458754074,0,new and much,107.75093627623556,0
health,482.3169102149742,0,economic and social,107.75093627623556,0
increase,270.9824428415412,0,may be use,107.75093627623556,0
throughout the world,129.38263926718048,0,good and service,107.75093627623556,0
make the much,118.04561866125051,0,increase the efficiency,107.75093627623556,0
much and much,97.83839620722416,0,research and development,107.75093627623556,0
social and economic,57.3861143340613,0,social and economic,107.75093627623556,0
state and local,52.83809894347101,0,energy and resource,92.75968689407465,1
economic and social,47.83325153646636,0,system of national,52.10819513940942,0
research and development,42.1544699747418,0,government of south,51.31352035116206,0
may be use,37.311314200274595,0,make -pron- possible,45.65130928566485,0
energy,34.609465464477985,1,make -pron- much,40.341624985306055,0
good and service,26.832638994716238,0,among the much,33.043119900942315,0
may be require,25.287482286958,0,reduce the cost,31.002266457564435,0
level of government,24.755163677463884,0,states and brazil,29.109555457978107,0
around the world,21.566614627747303,0,cost of production,27.45932674527925,0
may be consider,16.857836710967348,0,make the much,25.401833966653385,0
east and west,16.080009397845785,0,coast of south,23.06497347691948,0
state and federal,10.632618035039393,0,much,21.628258620213614,0
increase the efficiency,10.532952053060349,0,american and european,20.740425383323554,0
may be apply,8.428675989014598,0,state and federal,18.771900548933193,0
would be much,8.428675989014598,0,may be much,14.474530591075904,0
reduce the cost,7.5728795109770095,0,period of time,12.986644439716772,0
point of view,7.193404109771336,0,government of china,11.267166398661145,0
system of national,5.218038085055057,0,energy,10.961992602019427,1
national and state,3.1063955177369067,0,reduce the numb,10.262329980537768,0
new and much,2.9573167731437637,0,river of china,7.7803950527526675,0
north and south,2.819220737105184,0,present and future,7.0330846365515285,0
cost of production,2.661536694982844,0,world have much,7.0330846365515285,0
central and south,2.413121717439864,0,rate of increase,7.0330846365515285,0
reduce the numb,1.4299753023649355,0,high and much,7.0330846365515285,0
period of time,0.8751046647192241,0,state and local,6.366156301832234,0
become the much,0.8341217000922482,0,united states,5.524891481293963,0
state and national,0.4766304947434383,0,east and west,5.264321050898361,0
among the much,0.4016202763301493,0,system,5.2317933474913625,0
may be much,0.32582523614588865,0,europe and japan,4.73119813799849,0
high and much,0.2978907853570883,0,point of view,4.602329849654893,0
public and private,0.17492869790521226,0,china and japan,4.565716103987653,0
department of health,0.0893660898111973,0,gulf of mexico,4.392385947352238,0
use of state,0.0893660898111973,0,need to make,3.979535028723632,0
energy and resource,0.06909124716151638,1,much or little,3.979535028723632,0
coast of south,0.0595772840643325,0,well and much,3.979535028723632,0
state of new,0.02978858744111715,0,one or much,3.979535028723632,0
states and canada,0.0,0,much than two,3.979535028723632,0
need to make,0.0,0,much than one,3.979535028723632,0
republic of china,0.0,0,order to make,3.979535028723632,0
europe and japan,0.0,0,large and much,3.979535028723632,0
present and future,0.0,0,meet the need,3.885863590966757,0
world have much,0.0,0,within the united,3.8480825096739295,0
much or little,0.0,0,level of government,3.694132682539447,0
government of china,0.0,0,states of america,3.3481176358570783,0
well and much,0.0,0,department of energy,2.596113834027165,1
states of america,0.0,0,central and south,2.474972271869205,0
states and brazil,0.0,0,north and south,2.222323391179941,0
river of china,0.0,0,use of state,2.189549398397901,0
department of energy,0.0,1,states and china,1.8489376715519936,0
states and china,0.0,0,throughout the world,1.4777476926830673,0
make -pron- possible,0.0,0,america and europe,1.4045736611728898,0
china and japan,0.0,0,much and much,1.343985708842638,0
meet the need,0.0,0,become the much,1.2943268086453656,0
within the united,0.0,0,health,1.1691099223039316,0
make -pron- much,0.0,0,national and state,1.148493744643929,0
government of south,0.0,0,department of health,1.1419861564348253,0
include the united,0.0,0,republic of china,1.0207237569242125,0
american and european,0.0,0,may be consider,0.9931770605488309,0
europe and asia,0.0,0,state of new,0.6739800763496646,0
one or much,0.0,0,states and canada,0.6337103703606886,0
-pron- have much,0.0,0,may be apply,0.4825991415733313,0
gulf of mexico,0.0,0,europe and asia,0.3645536143083064,0
much than two,0.0,0,result,0.2816631444359245,0
america and europe,0.0,0,increase,0.2580936320079559,0
japan and china,0.0,0,may be require,0.19426416573588767,0
united states,0.0,0,would be much,0.19426416573588767,0
rate of increase,0.0,0,around the world,0.09101275009510346,0
much than one,0.0,0,state and national,0.07331844494729013,0
order to make,0.0,0,include the united,0.0486147484614321,0
large and much,0.0,0,japan and china,0.0180338117086194,0
much,0.0,0,public and private,0.006212856952870993,0
system,-407.6985684917263,0,-pron- have much,0.00011300503280153862,0
